Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.89,-36.38,-31.77,-29.72
45,1.65,-19.43,-30.13,-34.21
50,1.51,-13.79,-30.42,-36.89
60,1.47,-16.31,-31.30,-38.73
70,1.40,-18.76,-31.90,-41.40
80,1.25,-19.76,-33.07,-44.63
90,1.15,-21.03,-34.34,-47.21
100,1.21,-22.24,-34.78,-48.74
120,1.31,-22.58,-34.83,-49.80
140,1.30,-22.06,-34.97,-50.83
160,1.23,-21.00,-35.08,-51.22
180,1.20,-20.44,-35.23,-50.44
200,1.21,-21.04,-35.53,-49.32
220,1.23,-21.95,-35.67,-48.66
240,1.27,-22.05,-35.44,-47.94
260,1.32,-21.65,-35.22,-46.66
280,1.38,-21.76,-35.60,-45.53
300,1.40,-22.52,-36.33,-45.18
320,1.36,-23.20,-36.23,-45.15
340,1.24,-23.07,-35.43,-44.94
360,1.14,-22.17,-35.53,-44.51
380,1.15,-21.16,-36.52,-43.85
400,1.23,-20.57,-36.58,-43.12
420,1.26,-20.39,-35.76,-42.85
440,1.20,-20.56,-36.23,-43.31
460,1.04,-20.97,-38.31,-44.02
480,0.81,-21.27,-39.59,-44.38
500,0.59,-21.27,-38.62,-44.25
520,0.43,-21.30,-37.16,-44.03
540,0.35,-21.63,-37.74,-44.14
560,0.31,-21.94,-40.00,-44.63
580,0.27,-21.79,-41.25,-45.28
600,0.23,-21.33,-40.17,-45.87
620,0.19,-21.16,-38.32,-46.00
640,0.14,-21.46,-38.13,-45.42
660,0.11,-21.79,-40.01,-44.71
680,0.09,-21.75,-42.14,-44.63
700,0.06,-21.54,-43.09,-44.94
720,0.00,-21.39,-43.10,-44.97
740,-0.09,-21.21,-42.46,-44.99
760,-0.15,-21.06,-41.28,-45.39
780,-0.14,-21.30,-40.84,-45.49
800,-0.11,-21.81,-42.33,-44.76
820,-0.11,-22.17,-44.53,-43.92
840,-0.13,-22.33,-45.26,-43.57
860,-0.16,-22.39,-44.40,-43.38
880,-0.22,-22.29,-43.50,-43.54
900,-0.29,-22.20,-43.37,-45.18
920,-0.33,-22.40,-43.52,-48.55
940,-0.33,-22.70,-43.45,-52.21
960,-0.32,-22.70,-43.25,-54.45
980,-0.34,-22.42,-43.33,-54.95
1000,-0.37,-22.12,-43.66,-54.63
1100,-0.41,-21.85,-43.66,-54.24
1200,-0.46,-21.51,-43.15,-54.17
1300,-0.52,-21.20,-42.89,-54.42
1400,-0.57,-21.07,-43.42,-53.90
1500,-0.60,-21.07,-44.05,-51.89
1600,-0.64,-21.13,-43.97,-49.70
1700,-0.69,-21.24,-43.26,-48.40
1800,-0.73,-21.26,-42.21,-47.09
1900,-0.76,-21.10,-40.81,-45.29
2000,-0.82,-20.91,-39.39,-44.14
2100,-0.92,-20.91,-38.75,-44.21
2200,-0.98,-21.06,-39.37,-44.28
2300,-0.99,-21.15,-40.88,-43.35
2400,-1.04,-21.11,-42.00,-42.33
2500,-1.15,-21.16,-41.66,-42.60
2600,-1.21,-21.45,-40.60,-43.47
2700,-1.17,-21.79,-40.54,-43.50
2800,-1.16,-21.95,-41.40,-43.17
2900,-1.26,-21.95,-41.15,-43.60
3000,-1.41,-21.95,-39.29,-44.17
3100,-1.44,-22.07,-38.34,-44.00
3200,-1.34,-22.33,-40.37,-43.51
3300,-1.24,-22.62,-43.80,-43.05
3400,-1.25,-22.80,-44.79,-42.13
3500,-1.34,-22.79,-41.47,-40.58
3600,-1.43,-22.71,-36.59,-39.29
3700,-1.41,-22.78,-35.27,-39.42
3800,-1.31,-22.98,-39.03,-40.80
3900,-1.21,-23.10,-43.94,-42.02
4000,-1.18,-23.19,-45.66,-42.24
4100,-1.23,-23.38,-43.74,-41.64
4200,-1.33,-23.59,-39.94,-40.65
4300,-1.38,-23.86,-35.63,-39.83
4400,-1.27,-24.29,-32.59,-39.40
4500,-1.12,-24.36,-32.30,-38.71
4600,-1.16,-23.65,-33.43,-37.38
4700,-1.35,-22.87,-33.30,-36.21
4800,-1.47,-22.92,-31.56,-36.04
4900,-1.45,-23.45,-30.32,-36.69
5000,-1.40,-23.62,-31.37,-37.31
5100,-1.33,-23.44,-34.24,-37.40
5200,-1.21,-23.38,-36.91,-37.24
5300,-1.07,-23.33,-38.36,-37.21
5400,-0.99,-23.01,-39.54,-37.34
5500,-0.96,-22.60,-40.87,-37.68
5600,-0.93,-22.41,-40.43,-37.88
5700,-0.90,-22.41,-37.13,-37.03
5800,-0.93,-22.32,-33.78,-35.21
5900,-0.98,-22.11,-33.24,-33.60
6000,-0.98,-22.05,-34.38,-32.59
6100,-0.91,-22.23,-34.68,-31.99
6200,-0.80,-22.35,-34.10,-32.24
6300,-0.69,-22.13,-35.08,-33.62
6400,-0.62,-21.64,-38.51,-35.25
6500,-0.57,-21.21,-40.67,-36.25
6600,-0.51,-21.06,-38.26,-36.70
6700,-0.43,-21.11,-34.84,-37.10
6800,-0.40,-21.07,-36.21,-37.71
6900,-0.45,-20.79,-41.34,-38.23
7000,-0.52,-20.39,-44.27,-38.10
7100,-0.53,-20.16,-42.80,-37.69
7200,-0.48,-20.20,-40.34,-37.92
7300,-0.38,-20.31,-40.20,-38.41
7400,-0.25,-20.19,-41.57,-38.08
7500,-0.10,-19.77,-41.18,-37.74
7600,0.03,-19.22,-38.22,-38.96
7700,0.11,-18.71,-35.96,-40.71
7800,0.15,-18.37,-37.19,-40.76
7900,0.20,-18.21,-40.42,-39.78
8000,0.28,-18.14,-42.45,-39.96
8100,0.34,-18.08,-42.62,-41.04
8200,0.35,-18.01,-42.41,-41.43
8300,0.35,-17.87,-43.04,-40.95
8400,0.41,-17.70,-44.84,-39.88
8500,0.53,-17.61,-46.35,-38.44
8600,0.62,-17.66,-44.82,-38.25
8700,0.68,-17.73,-40.70,-40.54
8800,0.75,-17.71,-38.47,-42.87
8900,0.82,-17.50,-39.91,-42.07
9000,0.88,-17.13,-41.97,-39.55
9100,0.94,-16.77,-42.40,-39.23
9200,1.06,-16.53,-41.34,-41.32
9300,1.17,-16.37,-38.64,-42.30
9400,1.23,-16.09,-34.71,-40.50
9500,1.26,-15.64,-31.84,-38.01
9600,1.32,-15.16,-31.45,-37.36
9700,1.33,-14.83,-31.97,-38.38
9800,1.25,-14.73,-31.35,-38.82
9900,1.16,-14.88,-30.50,-37.78
10000,1.18,-15.15,-31.29,-36.90
10100,1.28,-15.37,-33.11,-37.36
10200,1.31,-15.54,-34.19,-38.10
10300,1.29,-15.77,-34.23,-37.88
10400,1.27,-15.97,-34.09,-37.32
10500,1.29,-15.88,-34.77,-37.69
10600,1.31,-15.60,-36.36,-38.94
10700,1.32,-15.51,-37.01,-39.80
10800,1.32,-15.64,-34.94,-39.48
10900,1.30,-15.84,-31.46,-38.62
11000,1.25,-16.07,-30.12,-38.43
11100,1.17,-16.31,-32.33,-38.58
11200,1.06,-16.56,-35.12,-37.50
11300,0.93,-16.93,-35.16,-36.02
11400,0.81,-17.31,-33.62,-36.87
11500,0.71,-17.50,-33.79,-39.67
11600,0.57,-17.80,-35.84,-41.23
11700,0.40,-18.80,-37.20,-40.33
11800,0.27,-20.33,-36.45,-38.22
11900,0.25,-21.49,-34.57,-36.29
12000,0.24,-21.68,-32.89,-35.40
12100,0.21,-21.35,-31.79,-35.71
12200,0.18,-21.57,-31.36,-36.41
12300,0.19,-23.19,-31.95,-36.79
12400,0.17,-26.12,-33.36,-37.39
12500,0.09,-29.08,-34.05,-39.01
12600,0.02,-30.81,-33.24,-41.01
12700,0.04,-31.03,-32.75,-41.89
12800,0.09,-30.27,-34.04,-41.33
12900,0.06,-29.32,-35.22,-40.34
13000,-0.01,-28.98,-34.85,-39.44
13100,-0.01,-29.49,-35.36,-38.18
13200,0.06,-30.32,-38.71,-36.31
13300,0.04,-30.70,,
13400,-0.12,-30.27,,
13500,-0.29,-29.18,,
13600,-0.37,-27.72,,
13700,-0.47,-26.24,,
13800,-0.67,-25.14,,
