Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.64,-13.90,-31.73,-28.32
45,0.98,-15.10,-31.24,-33.44
50,0.66,-16.14,-31.83,-36.57
60,0.67,-17.58,-32.20,-38.59
70,0.70,-19.61,-32.36,-40.90
80,0.56,-21.20,-33.78,-43.38
90,0.40,-21.67,-35.63,-45.56
100,0.43,-21.84,-35.98,-47.31
120,0.59,-22.16,-35.28,-48.47
140,0.64,-21.73,-35.27,-49.06
160,0.54,-20.65,-36.13,-49.09
180,0.44,-20.40,-36.84,-48.55
200,0.45,-21.16,-37.01,-48.04
220,0.53,-21.61,-37.02,-47.98
240,0.59,-21.37,-37.16,-47.80
260,0.64,-21.29,-37.40,-47.23
280,0.69,-21.81,-37.56,-46.83
300,0.72,-22.49,-37.75,-46.64
320,0.70,-22.81,-38.18,-46.21
340,0.63,-22.41,-38.50,-45.77
360,0.59,-21.43,-38.26,-45.66
380,0.60,-20.56,-37.98,-45.11
400,0.59,-20.22,-38.29,-43.64
420,0.55,-20.23,-38.45,-42.56
440,0.51,-20.39,-37.73,-43.08
460,0.47,-20.68,-37.36,-44.18
480,0.42,-20.80,-38.87,-44.36
500,0.40,-20.58,-41.26,-43.78
520,0.42,-20.35,-42.00,-43.35
540,0.40,-20.52,-40.51,-43.47
560,0.30,-20.83,-38.97,-44.04
580,0.19,-20.81,-39.63,-44.61
600,0.16,-20.45,-42.07,-44.69
620,0.20,-20.22,-43.92,-44.37
640,0.21,-20.41,-43.69,-44.23
660,0.14,-20.86,-41.89,-44.79
680,0.05,-21.10,-40.46,-45.72
700,-0.02,-20.74,-41.22,-46.09
720,-0.06,-19.99,-43.53,-45.71
740,-0.06,-19.68,-44.95,-45.21
760,-0.04,-20.23,-44.53,-44.98
780,-0.07,-21.17,-43.32,-45.06
800,-0.15,-21.85,-41.95,-45.68
820,-0.20,-21.94,-40.73,-46.50
840,-0.20,-21.47,-40.74,-46.52
860,-0.18,-20.93,-42.15,-45.65
880,-0.19,-20.84,-43.08,-45.23
900,-0.22,-21.16,-42.35,-46.01
920,-0.28,-21.53,-41.17,-47.42
940,-0.39,-21.91,-40.64,-48.63
960,-0.48,-22.24,-40.08,-49.37
980,-0.48,-22.09,-39.27,-49.65
1000,-0.44,-21.34,-39.58,-49.16
1100,-0.44,-20.54,-41.04,-47.65
1200,-0.50,-20.24,-41.44,-46.23
1300,-0.57,-20.28,-39.96,-46.62
1400,-0.62,-20.31,-38.52,-48.27
1500,-0.66,-20.25,-38.39,-48.70
1600,-0.68,-20.22,-38.60,-47.46
1700,-0.71,-20.21,-38.39,-46.47
1800,-0.76,-20.19,-38.26,-46.41
1900,-0.82,-20.15,-38.09,-45.93
2000,-0.85,-20.08,-37.18,-44.75
2100,-0.88,-20.08,-35.99,-44.31
2200,-0.96,-20.17,-35.67,-45.03
2300,-1.04,-20.26,-36.21,-45.35
2400,-1.04,-20.28,-36.55,-44.45
2500,-1.03,-20.39,-36.05,-43.29
2600,-1.11,-20.62,-34.87,-42.88
2700,-1.24,-20.78,-33.17,-43.00
2800,-1.29,-20.74,-31.13,-42.77
2900,-1.24,-20.70,-29.87,-41.75
3000,-1.21,-20.92,-30.43,-40.39
3100,-1.30,-21.33,-31.84,-39.60
3200,-1.43,-21.60,-32.26,-40.08
3300,-1.46,-21.52,-31.35,-41.81
3400,-1.37,-21.24,-30.23,-43.58
3500,-1.27,-21.16,-29.78,-43.39
3600,-1.24,-21.39,-29.72,-40.68
3700,-1.31,-21.68,-29.06,-37.85
3800,-1.41,-21.93,-27.73,-37.84
3900,-1.45,-22.19,-26.86,-40.36
4000,-1.38,-22.26,-26.81,-42.42
4100,-1.26,-22.10,-26.47,-42.57
4200,-1.17,-22.10,-25.62,-42.28
4300,-1.13,-22.35,-25.51,-42.83
4400,-1.19,-22.46,-26.31,-43.43
4500,-1.33,-22.43,-26.75,-42.88
4600,-1.40,-22.51,-26.54,-41.27
4700,-1.27,-22.39,-26.58,-39.84
4800,-1.08,-21.68,-27.05,-39.50
4900,-1.08,-20.92,-27.04,-39.59
5000,-1.24,-20.86,-26.25,-38.98
5100,-1.33,-21.30,-25.62,-38.13
5200,-1.30,-21.61,-25.88,-38.16
5300,-1.26,-21.79,-26.35,-38.88
5400,-1.25,-22.04,-26.26,-39.54
5500,-1.18,-22.11,-26.13,-40.16
5600,-1.03,-21.70,-26.55,-40.81
5700,-0.89,-21.06,-26.77,-41.03
5800,-0.80,-20.68,-26.06,-40.68
5900,-0.76,-20.68,-25.18,-40.19
6000,-0.72,-20.79,-24.90,-39.94
6100,-0.69,-20.78,-24.53,-39.90
6200,-0.73,-20.68,-23.61,-39.59
6300,-0.80,-20.60,-23.06,-38.55
6400,-0.80,-20.56,-23.50,-37.20
6500,-0.72,-20.39,-24.31,-36.40
6600,-0.61,-20.02,-24.82,-36.67
6700,-0.51,-19.53,-25.14,-38.16
6800,-0.44,-19.08,-25.59,-40.36
6900,-0.39,-18.85,-25.95,-41.70
7000,-0.33,-18.86,-25.69,-41.08
7100,-0.22,-18.95,-24.95,-39.55
7200,-0.13,-18.92,-24.57,-38.88
7300,-0.14,-18.77,-24.71,-39.11
7400,-0.24,-18.59,-24.80,-38.98
7500,-0.32,-18.51,-24.87,-38.07
7600,-0.29,-18.54,-25.38,-37.54
7700,-0.21,-18.58,-25.98,-38.44
7800,-0.11,-18.47,-25.94,-39.92
7900,-0.02,-18.15,-25.31,-40.19
8000,0.09,-17.69,-24.60,-39.13
8100,0.20,-17.28,-23.94,-38.47
8200,0.29,-17.06,-23.60,-39.28
8300,0.33,-17.04,-24.52,-40.85
8400,0.35,-17.14,-26.79,-41.86
8500,0.41,-17.28,-28.79,-41.82
8600,0.48,-17.42,-29.53,-41.43
8700,0.48,-17.53,-30.26,-41.88
8800,0.42,-17.64,-31.76,-43.02
8900,0.42,-17.84,-32.71,-43.34
9000,0.54,-18.09,-32.54,-42.47
9100,0.59,-18.37,-32.57,-41.76
9200,0.46,-18.68,-33.11,-41.87
9300,0.38,-18.87,-32.86,-42.34
9400,0.59,-18.56,-31.91,-43.11
9500,0.90,-17.68,-32.26,-44.15
9600,1.05,-16.76,-35.04,-44.58
9700,1.08,-16.36,-37.97,-43.99
9800,1.12,-16.51,-37.06,-43.25
9900,1.18,-16.80,-32.25,-43.02
10000,1.18,-16.91,-28.34,-42.95
10100,1.15,-16.83,-28.26,-42.50
10200,1.13,-16.73,-29.85,-41.74
10300,1.09,-16.82,-30.76,-41.17
10400,0.98,-17.20,-31.58,-41.08
10500,0.79,-17.96,-33.17,-41.29
10600,0.65,-19.11,-34.70,-41.48
10700,0.60,-20.55,-35.22,-41.51
10800,0.62,-21.93,-35.17,-41.50
10900,0.63,-22.86,-35.44,-41.69
11000,0.63,-22.96,-35.79,-42.02
11100,0.63,-22.22,-35.42,-42.04
11200,0.67,-21.27,-34.22,-41.54
11300,0.69,-20.87,-32.74,-40.93
11400,0.67,-20.98,-31.67,-40.96
11500,0.63,-21.13,-31.58,-41.97
11600,0.61,-21.17,-32.50,-43.29
11700,0.60,-21.19,-33.59,-44.08
11800,0.56,-21.40,-33.85,-44.30
11900,0.50,-21.97,-33.51,-44.10
12000,0.42,-22.81,-33.73,-43.37
12100,0.35,-23.93,-34.24,-42.37
12200,0.26,-25.43,-33.75,-41.63
12300,0.14,-26.98,-32.74,-41.32
12400,0.03,-28.01,-32.87,-41.25
12500,-0.06,-28.49,-34.45,-40.89
12600,-0.12,-28.76,-36.94,-39.83
12700,-0.16,-28.85,-39.69,-38.66
12800,-0.19,-28.75,-41.00,-38.20
12900,-0.23,-28.61,-40.69,-38.10
13000,-0.27,-28.31,-42.06,-37.92
13100,-0.33,-27.43,-46.64,-38.37
13200,-0.39,-25.84,-50.05,-39.61
13300,-0.43,-23.94,-49.11,-40.31
13400,-0.43,-22.16,-47.36,-40.18
13500,-0.41,-20.63,-48.12,-40.72
13600,-0.40,-19.50,-49.46,-42.65
13700,-0.42,-18.91,-49.92,-44.82
13800,-0.49,-18.74,-50.94,-45.91
13900,-0.54,-18.69,-52.15,-45.40
14000,-0.55,-18.63,-50.96,-44.01
14100,-0.51,-18.67,-47.77,-43.25
14200,-0.51,-18.93,-46.16,-43.53
14300,-0.59,-19.45,-46.99,-43.88
14400,-0.73,-20.14,-46.98,-43.91
14500,-0.86,-20.91,-44.84,-44.15
14600,-0.92,-21.59,-43.38,-44.42
14700,-0.98,-22.02,-43.64,-44.27
14800,-1.17,-22.14,-42.57,-44.83
14900,-1.42,-22.17,-38.97,-47.41
15000,-1.48,-22.57,-36.23,-51.02
15100,-1.38,-23.66,-36.72,-53.63
15200,-1.36,-24.94,-38.57,-54.65
15300,-1.47,-25.35,-39.33,-54.80
15400,-1.55,-24.65,-38.91,
15500,-1.52,-23.69,-38.21,
15600,-1.47,-23.31,-37.36,
15700,-1.46,-23.46,-36.42,
