Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
9900,0.29,-17.40,-34.25,-40.73
10000,0.32,-17.43,-34.57,-40.65
10100,0.36,-17.17,-36.28,-40.76
10200,0.42,-16.58,-37.55,-41.43
10300,0.42,-16.09,-35.39,-41.53
10400,0.32,-16.16,-30.21,-40.43
10500,0.22,-16.77,-26.05,-39.51
10600,0.21,-17.57,-25.32,-40.08
10700,0.25,-18.22,-26.74,-41.55
10800,0.25,-18.54,-28.38,-42.55
10900,0.19,-18.56,-29.80,-42.55
11000,0.14,-18.41,-31.42,-42.15
11100,0.13,-18.27,-32.91,-42.08
11200,0.12,-18.30,-32.76,-42.13
11300,0.11,-18.45,-30.47,-41.76
11400,0.10,-18.66,-28.34,-41.43
11500,0.06,-18.97,-29.39,-42.08
11600,-0.00,-19.33,-33.30,-43.64
11700,-0.08,-19.67,-36.72,-45.08
11800,-0.16,-20.19,-38.04,-45.34
11900,-0.22,-21.33,-38.86,-44.37
12000,-0.24,-23.12,-40.09,-43.83
12100,-0.25,-24.53,-40.73,-45.23
12200,-0.30,-24.29,-40.62,-47.57
12300,-0.44,-22.72,-40.41,-49.01
12400,-0.60,-21.68,-39.79,-49.26
12500,-0.74,-21.96,-38.55,-48.74
12600,-0.86,-22.38,-37.92,-47.42
12700,-1.00,-22.01,-38.75,-46.17
12800,-1.15,-21.56,-39.61,-46.32
12900,-1.32,-22.04,-38.66,-47.13
13000,-1.50,-23.27,-36.42,-46.54
13100,-1.64,-24.08,-35.10,-44.65
13200,-1.70,-23.60,-35.68,-43.20
13300,-1.68,-22.22,-37.25,-42.76
13400,-1.68,-20.99,-38.92,-42.85
13500,-1.76,-20.15,-41.18,-43.34
13600,-1.88,-19.09,-44.99,-44.34
13700,-1.96,-17.86,-48.93,-45.74
13800,-1.94,-17.30,-49.92,-46.96
13900,-1.87,-17.58,-47.68,-47.48
14000,-1.85,-17.97,-44.51,-47.60
14100,-1.87,-18.09,-41.25,-47.63
14200,-1.87,-18.18,-38.46,-47.41
14300,-1.88,-18.31,-38.39,-47.49
14400,-1.96,-18.23,-40.59,-48.22
14500,-2.08,-17.88,-40.98,-48.31
14600,-2.23,-17.64,-38.37,-47.32
14700,-2.40,-17.79,-36.04,-47.28
14800,-2.53,-17.97,-36.00,-49.14
14900,-2.58,-17.74,-36.82,-51.28
15000,-2.59,-17.53,-37.17,-52.91
15100,-2.66,-18.28,-37.66,-54.78
15200,-2.77,-19.84,-39.25,-56.64
15300,-2.86,-20.98,-41.37,-57.80
15400,-2.97,-21.06,-42.98,
15500,-3.09,-20.82,-44.26,
15600,-3.20,-21.23,-45.47,
15700,-3.27,-22.01,-45.66,
15800,-3.35,-22.16,-44.79,
15900,-3.42,-21.44,-43.97,
16000,-3.43,-20.67,-42.78,
16100,-3.47,-20.40,-39.83,
16200,-3.58,-20.36,-36.34,
16300,-3.74,-20.23,-35.42,
16400,-3.84,-20.27,-37.51,
16500,-3.88,-20.64,-39.83,
16600,-3.97,-21.06,-40.63,
16700,-4.15,-21.53,-40.83,
16800,-4.28,-22.27,-41.29,
16900,-4.25,-23.06,-41.47,
17000,-4.13,-23.36,-40.83,
17100,-4.07,-23.11,-39.87,
17200,-4.11,-22.82,-39.57,
17300,-4.22,-22.88,-40.05,
17400,-4.39,-23.20,-39.96,
17500,-4.62,-23.42,-38.23,
17600,-4.87,-23.38,-35.95,
17700,-5.09,-23.18,-34.85,
17800,-5.20,-23.32,-34.88,
17900,-5.18,-24.17,-34.81,
18000,-5.17,-25.12,-34.32,
18100,-5.34,-25.22,-34.15,
18200,-5.64,-24.75,-34.72,
18300,-5.86,-24.72,-35.58,
18400,-5.96,-25.19,-35.94,
18500,-6.08,-26.10,-35.60,
18600,-6.26,-28.42,-35.00,
18700,-6.42,-31.80,-34.34,
18800,-6.50,-33.30,-33.31,
18900,-6.53,-31.23,-31.62,
19000,-6.53,-27.98,-29.74,
19100,-6.51,-26.51,-28.73,
19200,-6.56,-26.60,-29.09,
19300,-6.70,-26.33,-30.16,
19400,-6.82,-25.62,-30.96,
19500,-6.81,-26.29,,
19600,-6.71,-28.48,,
19700,-6.71,-29.88,,
19800,-6.86,-29.29,,
19900,-7.06,-28.02,,
20000,-7.14,-27.27,,
