Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.78,-14.05,-31.97,-27.33
45,1.09,-15.02,-31.14,-33.15
50,0.78,-15.91,-31.72,-36.37
60,0.81,-17.17,-32.27,-38.24
70,0.81,-19.08,-32.56,-40.80
80,0.62,-20.79,-34.14,-43.72
90,0.44,-21.37,-36.22,-46.05
100,0.49,-21.37,-36.77,-47.74
120,0.66,-21.41,-36.26,-48.88
140,0.68,-20.90,-36.33,-49.66
160,0.56,-20.06,-36.99,-50.44
180,0.47,-20.19,-37.49,-50.92
200,0.50,-21.14,-37.90,-50.68
220,0.55,-21.45,-38.46,-50.26
240,0.59,-21.01,-38.97,-50.01
260,0.62,-20.91,-39.15,-49.58
280,0.68,-21.48,-38.84,-48.93
300,0.74,-22.17,-38.59,-48.03
320,0.74,-22.47,-39.29,-46.87
340,0.66,-22.20,-40.42,-46.29
360,0.59,-21.52,-40.82,-46.69
380,0.61,-20.66,-40.98,-46.56
400,0.62,-19.94,-41.88,-44.83
420,0.59,-19.81,-42.77,-43.21
440,0.54,-20.33,-42.49,-43.56
460,0.49,-20.70,-41.85,-44.77
480,0.41,-20.42,-42.64,-44.74
500,0.38,-20.15,-44.88,-43.76
520,0.41,-20.51,-46.44,-43.35
540,0.42,-20.97,-45.70,-43.76
560,0.33,-20.76,-43.81,-44.20
580,0.19,-20.16,-43.79,-44.23
600,0.12,-19.98,-46.88,-43.99
620,0.15,-20.46,-50.63,-43.91
640,0.19,-20.96,-51.33,-44.49
660,0.15,-20.89,-48.08,-45.81
680,0.05,-20.43,-44.12,-47.09
700,-0.05,-20.07,-43.35,-47.21
720,-0.10,-19.95,-45.52,-46.26
740,-0.09,-20.12,-47.33,-45.40
760,-0.06,-20.59,-47.51,-45.15
780,-0.07,-21.08,-47.45,-45.46
800,-0.13,-21.25,-47.52,-46.43
820,-0.20,-21.14,-46.59,-47.44
840,-0.23,-21.00,-44.80,-47.23
860,-0.24,-21.07,-43.73,-46.14
880,-0.24,-21.46,-43.73,-45.86
900,-0.24,-21.81,-43.60,-46.67
920,-0.29,-21.71,-42.70,-47.59
940,-0.39,-21.32,-41.73,-48.20
960,-0.48,-21.10,-41.36,-48.42
980,-0.49,-21.05,-41.39,-48.15
1000,-0.47,-20.86,-41.43,-47.84
1100,-0.48,-20.50,-41.38,-48.17
1200,-0.54,-20.25,-40.86,-48.77
1300,-0.62,-20.22,-39.57,-48.35
1400,-0.68,-20.22,-38.51,-46.92
1500,-0.72,-20.14,-38.75,-46.14
1600,-0.74,-20.12,-39.17,-46.66
1700,-0.76,-20.16,-38.32,-47.12
1800,-0.81,-20.08,-37.12,-46.55
1900,-0.87,-19.90,-36.89,-45.52
2000,-0.92,-19.99,-36.90,-44.86
2100,-0.96,-20.26,-35.97,-44.57
2200,-1.04,-20.18,-34.39,-44.01
2300,-1.13,-19.92,-32.93,-42.93
2400,-1.16,-20.20,-31.96,-42.46
2500,-1.15,-20.86,-31.55,-43.41
2600,-1.20,-20.94,-31.40,-44.52
2700,-1.31,-20.38,-31.27,-44.26
2800,-1.39,-20.16,-31.48,-43.07
2900,-1.38,-20.79,-32.22,-42.26
3000,-1.35,-21.61,-32.93,-41.90
3100,-1.40,-21.74,-33.08,-41.28
3200,-1.52,-21.25,-32.63,-40.49
3300,-1.57,-20.90,-31.84,-40.56
3400,-1.54,-21.15,-31.04,-41.58
3500,-1.48,-21.82,-30.74,-42.07
3600,-1.45,-22.32,-31.18,-41.16
3700,-1.49,-22.23,-31.75,-39.89
3800,-1.56,-21.82,-31.47,-39.52
3900,-1.59,-21.66,-30.43,-39.95
4000,-1.56,-21.87,-29.66,-40.66
4100,-1.50,-22.29,-29.47,-41.42
4200,-1.43,-22.81,-29.31,-41.99
4300,-1.37,-23.08,-29.09,-42.22
4400,-1.39,-22.75,-29.23,-42.24
4500,-1.50,-22.11,-29.74,-42.31
4600,-1.58,-21.79,-30.36,-42.77
4700,-1.49,-21.70,-30.91,-43.53
4800,-1.35,-21.52,-31.13,-43.50
4900,-1.39,-21.50,-30.85,-42.28
5000,-1.58,-21.97,-30.33,-41.23
5100,-1.67,-22.44,-29.76,-41.13
5200,-1.61,-22.29,-29.05,-41.09
5300,-1.56,-21.80,-28.49,-40.75
5400,-1.54,-21.54,-28.56,-40.74
5500,-1.47,-21.57,-29.43,-41.08
5600,-1.34,-21.60,-30.68,-41.28
5700,-1.24,-21.60,-31.43,-41.28
5800,-1.20,-21.76,-31.50,-41.35
5900,-1.17,-22.07,-31.64,-41.63
6000,-1.10,-22.27,-31.26,-41.78
6100,-1.04,-22.04,-28.37,-41.10
6200,-1.05,-21.35,-23.68,-39.75
6300,-1.12,-20.64,-20.68,-38.88
6400,-1.14,-20.30,-20.57,-38.92
6500,-1.07,-20.24,-21.31,-39.20
6600,-0.97,-20.16,-21.51,-39.34
6700,-0.92,-20.06,-21.69,-39.52
6800,-0.95,-20.13,-22.61,-39.91
6900,-0.98,-20.35,-24.05,-40.62
7000,-0.95,-20.53,-25.09,-41.36
7100,-0.84,-20.56,-25.21,-41.40
7200,-0.74,-20.41,-24.92,-40.72
7300,-0.71,-20.06,-24.99,-40.48
7400,-0.79,-19.56,-25.40,-41.14
7500,-0.88,-19.17,-25.65,-41.52
7600,-0.89,-19.10,-25.64,-40.86
7700,-0.81,-19.19,-25.68,-40.17
7800,-0.70,-19.19,-25.99,-40.29
7900,-0.60,-19.04,-26.50,-40.40
8000,-0.53,-18.85,-27.01,-39.82
8100,-0.47,-18.79,-27.18,-39.54
8200,-0.43,-18.88,-26.85,-40.75
8300,-0.39,-19.01,-26.50,-42.77
8400,-0.32,-19.02,-26.89,-44.05
8500,-0.22,-18.89,-28.15,-44.25
8600,-0.12,-18.70,-29.65,-44.09
8700,-0.07,-18.49,-30.67,-43.82
8800,-0.09,-18.23,-30.96,-43.26
8900,-0.12,-17.98,-31.00,-42.65
9000,-0.09,-17.83,-31.48,-42.23
9100,-0.01,-17.83,-32.16,-41.90
9200,0.05,-17.99,-32.03,-41.90
9300,0.09,-18.23,-31.14,-42.66
9400,0.16,-18.28,-30.90,-43.55
9500,0.27,-17.88,-31.99,-43.40
9600,0.38,-17.26,-33.23,-42.20
9700,0.46,-16.98,-33.46,-41.19
9800,0.51,-17.24,-33.36,-41.38
9900,0.53,-17.68,-34.25,-42.52
10000,0.53,-17.81,-36.06,-43.31
10100,0.53,-17.56,-37.56,-42.81
10200,0.57,-17.18,-37.76,-41.63
10300,0.62,-16.93,-37.16,-41.00
10400,0.59,-16.95,-37.68,-41.26
10500,0.47,-17.32,-40.13,-41.88
10600,0.34,-17.94,-41.81,-42.31
10700,0.31,-18.57,-39.91,-42.48
10800,0.32,-19.10,-35.85,-42.43
10900,0.31,-19.54,-32.96,-42.09
11000,0.28,-19.70,-31.90,-41.59
11100,0.29,-19.40,-31.49,-41.26
11200,0.33,-19.04,-31.32,-41.18
11300,0.33,-19.06,-31.64,-41.07
11400,0.27,-19.44,-32.31,-41.07
11500,0.20,-19.98,-33.25,-41.63
11600,0.13,-20.62,-35.05,-42.50
11700,0.08,-21.29,-37.67,-42.92
11800,0.05,-21.84,-39.09,-42.82
11900,0.02,-22.24,-37.78,-42.51
12000,-0.01,-22.70,-35.62,-41.71
12100,-0.07,-23.60,-35.06,-40.65
12200,-0.13,-25.13,-35.28,-40.76
12300,-0.18,-26.67,-34.74,-42.48
12400,-0.29,-27.24,-34.32,-44.33
12500,-0.49,-27.02,-35.07,-44.88
12600,-0.66,-27.19,-36.20,-44.07
12700,-0.72,-28.07,-36.88,-42.78
12800,-0.72,-28.88,-37.86,-41.97
12900,-0.82,-29.39,-40.09,-41.94
13000,-0.97,-29.98,-42.43,-42.21
13100,-1.08,-30.29,-42.31,-42.44
13200,-1.13,-29.43,-39.18,-42.66
13300,-1.16,-27.48,-36.14,-42.70
13400,-1.19,-25.38,-36.42,-42.54
13500,-1.23,-23.63,-39.17,-42.60
13600,-1.24,-22.20,-40.83,-43.16
13700,-1.22,-21.08,-40.46,-44.01
13800,-1.24,-20.39,-40.65,-44.80
13900,-1.31,-20.09,-42.98,-45.39
14000,-1.32,-19.91,-45.48,-45.88
14100,-1.26,-19.81,-45.25,-46.40
14200,-1.25,-19.94,-42.22,-46.91
14300,-1.37,-20.25,-38.81,-47.30
14400,-1.53,-20.49,-36.95,-47.63
14500,-1.65,-20.68,-36.73,-47.83
14600,-1.72,-21.06,-37.23,-47.84
14700,-1.78,-21.62,-37.46,-47.89
14800,-1.95,-21.93,-37.16,-48.12
14900,-2.24,-21.57,-36.87,-48.89
15000,-2.46,-20.63,-36.86,-51.23
15100,-2.45,-19.75,-36.63,-54.98
15200,-2.37,-19.53,-35.92,-57.53
15300,-2.42,-20.02,-35.40,-57.45
15400,-2.56,-20.83,-35.59,
15500,-2.65,-21.69,-35.92,
15600,-2.69,-22.58,-35.67,
15700,-2.70,-23.52,-35.24,
15800,-2.74,-24.33,-35.47,
15900,-2.83,-24.64,-36.36,
16000,-2.94,-24.30,-37.22,
16100,-3.00,-23.62,-37.41,
16200,-3.05,-23.01,-36.91,
16300,-3.13,-22.77,-36.86,
16400,-3.24,-22.99,-38.45,
16500,-3.31,-23.53,-41.05,
