Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.75,-14.23,-32.37,-27.13
45,1.13,-14.84,-31.60,-32.63
50,0.81,-15.87,-31.96,-35.86
60,0.76,-17.32,-32.43,-37.61
70,0.71,-18.91,-32.85,-39.68
80,0.54,-20.31,-34.24,-42.40
90,0.46,-21.29,-35.80,-45.06
100,0.57,-21.84,-36.11,-46.84
120,0.69,-21.82,-35.73,-47.55
140,0.64,-21.12,-35.93,-47.97
160,0.50,-20.40,-36.62,-48.34
180,0.44,-20.46,-37.06,-48.08
200,0.48,-21.01,-37.18,-47.75
220,0.53,-21.24,-37.35,-48.32
240,0.57,-21.10,-37.77,-48.82
260,0.62,-21.10,-38.43,-48.23
280,0.65,-21.53,-39.00,-47.47
300,0.67,-22.21,-39.01,-47.31
320,0.67,-22.68,-38.74,-47.09
340,0.61,-22.44,-39.15,-46.50
360,0.53,-21.56,-40.09,-45.74
380,0.52,-20.67,-40.23,-44.52
400,0.57,-20.22,-39.51,-43.03
420,0.61,-20.13,-39.07,-42.66
440,0.60,-20.30,-39.18,-43.92
460,0.53,-20.64,-39.80,-45.12
480,0.44,-20.75,-41.38,-44.64
500,0.40,-20.48,-43.17,-43.30
520,0.42,-20.30,-43.39,-42.96
540,0.43,-20.56,-42.02,-43.87
560,0.35,-20.91,-41.24,-44.73
580,0.23,-20.80,-42.46,-44.72
600,0.17,-20.32,-44.50,-44.19
620,0.20,-20.08,-45.30,-43.84
640,0.22,-20.38,-44.28,-43.93
660,0.17,-20.88,-42.46,-44.44
680,0.08,-21.00,-41.59,-44.99
700,0.00,-20.55,-42.72,-44.93
720,-0.05,-19.79,-44.72,-44.32
740,-0.07,-19.39,-45.47,-43.93
760,-0.08,-19.79,-44.81,-43.96
780,-0.09,-20.80,-44.11,-44.10
800,-0.13,-21.68,-43.71,-44.58
820,-0.17,-21.81,-43.21,-45.54
840,-0.19,-21.26,-42.84,-46.21
860,-0.21,-20.73,-42.99,-46.34
880,-0.22,-20.77,-43.37,-46.68
900,-0.22,-21.18,-43.44,-47.20
920,-0.26,-21.50,-43.04,-47.45
940,-0.36,-21.74,-42.45,-47.82
960,-0.46,-21.95,-41.86,-48.23
980,-0.48,-21.80,-41.08,-47.84
1000,-0.46,-21.17,-40.03,-47.00
1100,-0.47,-20.49,-39.25,-46.77
1200,-0.54,-20.20,-39.24,-46.84
1300,-0.61,-20.19,-39.65,-46.04
1400,-0.67,-20.18,-39.53,-43.81
1500,-0.71,-20.15,-38.17,-40.94
1600,-0.74,-20.19,-35.74,-39.56
1700,-0.76,-20.26,-33.47,-40.89
1800,-0.81,-20.25,-33.05,-42.85
1900,-0.88,-20.14,-34.35,-42.74
2000,-0.93,-20.02,-34.93,-41.07
2100,-0.97,-20.03,-33.31,-40.26
2200,-1.05,-20.17,-31.37,-40.74
2300,-1.14,-20.23,-31.83,-40.86
2400,-1.16,-20.24,-34.13,-40.07
2500,-1.14,-20.43,-35.34,-39.80
2600,-1.20,-20.74,-34.39,-40.40
2700,-1.32,-20.84,-32.53,-40.46
2800,-1.39,-20.68,-30.43,-39.88
2900,-1.37,-20.63,-28.33,-40.03
3000,-1.37,-20.95,-27.32,-40.64
3100,-1.44,-21.39,-27.54,-40.36
3200,-1.54,-21.55,-27.82,-39.35
3300,-1.56,-21.36,-27.79,-38.94
