Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.92,-9.91,-29.90,-26.67
45,1.37,-12.78,-30.40,-33.27
50,1.05,-14.95,-31.44,-37.11
60,0.93,-16.58,-32.17,-38.97
70,0.82,-18.38,-32.59,-41.31
80,0.65,-20.23,-33.51,-44.87
90,0.50,-20.98,-34.43,-48.50
100,0.44,-20.33,-34.60,-50.99
120,0.49,-19.93,-34.46,-52.30
140,0.62,-20.98,-34.47,-53.52
160,0.77,-22.44,-34.55,-55.34
180,0.83,-22.76,-34.75,-57.15
200,0.80,-21.99,-35.12,-57.94
220,0.77,-21.16,-35.41,-57.74
240,0.78,-20.83,-35.52,-57.44
260,0.79,-20.92,-35.64,-57.36
280,0.79,-21.27,-35.94,-57.22
300,0.80,-21.65,-36.29,-57.12
320,0.79,-21.63,-36.36,-56.91
340,0.74,-21.18,-36.10,-56.36
360,0.75,-20.95,-36.07,-55.83
380,0.85,-21.22,-36.66,-55.11
400,0.91,-21.21,-37.37,-53.57
420,0.89,-20.53,-37.79,-51.76
440,0.84,-20.20,-38.58,-50.34
460,0.80,-20.71,-40.51,-49.35
480,0.77,-20.96,-42.65,-49.21
500,0.73,-20.27,-42.89,-50.00
520,0.68,-19.63,-41.28,-50.89
540,0.62,-20.00,-40.76,-51.38
560,0.57,-20.72,-43.13,-51.88
580,0.56,-20.67,-46.43,-52.55
600,0.55,-19.96,-47.55,-53.04
620,0.52,-19.63,-46.02,-53.41
640,0.46,-20.14,-44.66,-54.21
660,0.41,-20.88,-46.29,-55.50
680,0.39,-20.97,-49.81,-56.53
700,0.36,-20.21,-51.74,-56.62
720,0.30,-19.35,-51.05,-55.71
740,0.23,-19.29,-49.66,-54.65
760,0.20,-20.10,-48.86,-54.66
780,0.22,-21.03,-48.62,-55.83
800,0.26,-21.44,-49.19,-56.71
820,0.26,-21.15,-50.46,-56.40
840,0.24,-20.37,-51.21,-55.93
860,0.20,-19.71,-50.83,-56.37
880,0.16,-19.74,-50.31,-56.78
900,0.10,-20.32,-50.44,-55.88
920,0.05,-20.92,-50.51,-54.48
940,0.02,-21.29,-49.86,-54.25
960,0.02,-21.37,-49.27,-54.96
980,0.01,-20.98,-49.20,-54.87
1000,0.00,-20.23,-48.62,-53.46
1100,-0.02,-19.58,-46.67,-52.19
1200,-0.04,-19.29,-44.46,-52.16
1300,-0.07,-19.24,-43.93,-52.42
1400,-0.10,-19.25,-44.52,-51.88
1500,-0.13,-19.20,-43.97,-50.97
1600,-0.15,-19.09,-42.82,-50.30
1700,-0.17,-19.01,-43.23,-49.56
1800,-0.19,-19.08,-44.05,-48.67
1900,-0.21,-19.13,-42.57,-48.14
2000,-0.24,-19.00,-39.72,-47.89
2100,-0.29,-19.01,-38.80,-47.22
2200,-0.34,-19.37,-40.50,-46.48
2300,-0.34,-19.56,-42.26,-47.17
2400,-0.34,-19.31,-41.95,-48.91
2500,-0.41,-19.22,-40.34,-48.85
2600,-0.49,-19.74,-39.59,-45.71
2700,-0.50,-20.26,-40.31,-42.12
2800,-0.47,-20.15,-40.91,-41.46
2900,-0.49,-19.76,-39.87,-43.50
3000,-0.56,-19.87,-37.60,-45.16
3100,-0.64,-20.61,-35.20,-45.60
3200,-0.64,-21.29,-33.35,-46.44
3300,-0.59,-21.33,-33.17,-47.14
3400,-0.55,-20.86,-35.10,-45.92
3500,-0.58,-20.55,-36.96,-43.94
3600,-0.67,-20.81,-36.61,-43.37
3700,-0.73,-21.55,-34.87,-44.27
3800,-0.71,-22.27,-33.40,-46.12
3900,-0.66,-22.47,-32.77,-47.86
4000,-0.62,-22.06,-33.79,-47.18
4100,-0.62,-21.52,-36.85,-43.66
4200,-0.67,-21.35,-39.62,-40.50
4300,-0.72,-21.55,-39.17,-40.70
4400,-0.74,-21.95,-35.98,-43.58
4500,-0.72,-22.44,-33.23,-46.17
4600,-0.67,-22.75,-32.39,-47.04
4700,-0.55,-22.36,-32.20,-47.29
4800,-0.42,-21.24,-31.71,-47.72
4900,-0.54,-20.27,-31.61,-47.15
5000,-0.91,-20.35,-32.16,-45.51
5100,-1.17,-21.24,-32.62,-45.33
5200,-1.07,-22.07,-32.65,-47.43
5300,-0.82,-22.60,-32.62,-48.81
5400,-0.68,-22.88,-32.57,-47.43
5500,-0.64,-22.62,-31.96,-45.44
5600,-0.56,-21.76,-30.76,-45.95
5700,-0.44,-20.93,-29.88,-48.67
5800,-0.39,-20.68,-30.04,-50.08
5900,-0.43,-20.89,-31.03,-48.15
6000,-0.47,-21.14,-32.23,-44.82
6100,-0.44,-21.25,-33.25,-42.95
6200,-0.34,-21.43,-33.70,-43.19
6300,-0.24,-21.71,-33.26,-44.81
6400,-0.19,-21.78,-32.29,-46.95
6500,-0.15,-21.42,-31.74,-48.06
6600,-0.09,-20.79,-31.93,-47.03
6700,0.03,-20.13,-32.19,-45.07
6800,0.14,-19.52,-31.78,-44.35
6900,0.19,-19.12,-30.61,-45.47
7000,0.16,-19.10,-29.41,-46.78
7100,0.11,-19.34,-29.72,-46.00
7200,0.10,-19.51,-32.46,-43.21
7300,0.15,-19.48,-36.22,-41.24
7400,0.23,-19.46,-38.32,-42.08
7500,0.30,-19.59,-37.77,-44.53
7600,0.37,-19.65,-35.82,-46.24
7700,0.42,-19.42,-33.99,-46.44
7800,0.47,-19.01,-33.07,-45.73
7900,0.53,-18.61,-33.21,-44.62
8000,0.62,-18.17,-33.95,-43.41
8100,0.71,-17.72,-34.33,-43.07
8200,0.76,-17.49,-33.82,-44.16
8300,0.75,-17.54,-33.05,-45.37
8400,0.73,-17.67,-33.01,-45.46
8500,0.76,-17.67,-33.68,-45.08
8600,0.84,-17.60,-34.59,-44.76
8700,0.95,-17.70,-36.07,-43.84
8800,1.05,-18.08,-38.22,-42.75
8900,1.12,-18.57,-39.82,-42.98
9000,1.16,-18.88,-40.19,-44.36
9100,1.19,-18.95,-40.13,-45.21
9200,1.23,-18.97,-40.22,-44.80
9300,1.30,-18.92,-40.23,-43.72
9400,1.40,-18.55,-39.95,-42.92
9500,1.52,-17.80,-39.46,-43.01
9600,1.65,-17.05,-39.35,-43.77
9700,1.72,-16.74,-40.10,-44.74
9800,1.71,-16.94,-40.75,-45.92
9900,1.63,-17.35,-39.97,-46.77
10000,1.56,-17.77,-38.51,-46.16
10100,1.52,-18.13,-38.41,-44.55
10200,1.49,-18.25,-39.95,-43.97
10300,1.49,-18.10,-41.58,-44.74
10400,1.52,-18.13,-42.39,-44.93
10500,1.50,-18.77,-42.98,-43.67
10600,1.42,-19.73,-43.88,-42.35
10700,1.30,-20.43,-44.35,-42.14
10800,1.23,-20.73,-43.80,-42.86
10900,1.23,-20.80,-43.66,-43.84
11000,1.27,-20.61,-45.90,-44.52
11100,1.32,-20.18,-49.12,-44.47
11200,1.34,-19.74,-49.15,-43.79
