Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.72,-14.05,-32.03,-27.71
45,1.04,-14.88,-30.70,-33.32
50,0.74,-15.81,-31.09,-36.62
60,0.78,-17.28,-31.85,-38.50
70,0.78,-19.39,-32.40,-40.66
80,0.59,-21.12,-33.84,-43.18
90,0.42,-21.64,-35.58,-45.44
100,0.49,-21.55,-36.10,-47.03
120,0.64,-21.49,-35.73,-47.93
140,0.64,-20.92,-35.69,-48.71
160,0.51,-20.06,-36.03,-49.48
180,0.45,-20.16,-36.31,-49.67
200,0.51,-21.11,-36.54,-49.41
220,0.59,-21.51,-36.87,-49.25
240,0.61,-21.12,-37.22,-48.86
260,0.62,-20.95,-37.52,-48.02
280,0.66,-21.44,-37.74,-47.33
300,0.71,-22.11,-38.03,-46.71
320,0.71,-22.45,-38.58,-45.76
340,0.62,-22.27,-38.92,-45.23
360,0.57,-21.56,-38.60,-45.50
380,0.60,-20.60,-38.39,-45.22
400,0.63,-19.92,-38.92,-43.74
420,0.59,-19.80,-39.28,-42.66
440,0.54,-20.11,-38.71,-43.16
460,0.49,-20.50,-38.34,-43.94
480,0.43,-20.59,-39.45,-43.69
500,0.41,-20.34,-41.22,-43.16
520,0.43,-20.14,-41.70,-43.40
540,0.42,-20.30,-40.51,-44.05
560,0.33,-20.64,-39.51,-44.41
580,0.22,-20.71,-40.65,-44.45
600,0.19,-20.42,-43.27,-44.34
620,0.22,-20.11,-44.86,-44.17
640,0.22,-20.14,-43.97,-44.32
660,0.15,-20.46,-41.53,-45.11
680,0.05,-20.74,-40.12,-45.99
700,-0.01,-20.56,-41.78,-46.10
720,-0.04,-19.92,-45.13,-45.62
740,-0.03,-19.49,-46.78,-45.29
760,-0.03,-19.81,-45.95,-45.21
780,-0.06,-20.69,-44.53,-45.18
800,-0.14,-21.49,-43.38,-45.52
820,-0.18,-21.67,-42.17,-46.31
840,-0.18,-21.25,-41.48,-46.88
860,-0.18,-20.74,-42.07,-46.86
880,-0.19,-20.61,-43.03,-47.06
900,-0.21,-20.78,-42.86,-48.31
920,-0.25,-20.97,-41.58,-50.34
940,-0.34,-21.24,-40.25,-51.95
960,-0.43,-21.61,-39.18,-52.01
980,-0.45,-21.62,-38.11,-50.63
1000,-0.43,-21.08,-37.39,-49.31
1100,-0.44,-20.43,-37.43,-49.26
1200,-0.49,-20.16,-37.75,-49.98
1300,-0.55,-20.19,-37.80,-50.12
1400,-0.61,-20.22,-37.65,-49.18
1500,-0.65,-20.20,-37.16,-47.78
1600,-0.67,-20.18,-35.97,-46.90
1700,-0.69,-20.14,-34.45,-47.05
1800,-0.74,-20.10,-33.81,-47.48
1900,-0.79,-20.09,-34.41,-46.96
2000,-0.83,-20.08,-35.20,-45.41
2100,-0.87,-20.07,-34.98,-44.01
2200,-0.97,-20.14,-33.87,-43.40
2300,-1.06,-20.25,-33.22,-43.07
2400,-1.05,-20.33,-33.86,-42.57
2500,-1.03,-20.41,-34.89,-42.19
2600,-1.10,-20.56,-34.86,-41.86
2700,-1.23,-20.69,-33.38,-41.16
2800,-1.28,-20.71,-31.36,-40.38
2900,-1.24,-20.75,-30.10,-39.86
3000,-1.23,-20.97,-29.98,-39.53
3100,-1.30,-21.31,-30.08,-39.67
3200,-1.41,-21.53,-29.77,-40.66
3300,-1.43,-21.50,-29.66,-42.32
3400,-1.36,-21.33,-30.23,-43.92
3500,-1.28,-21.27,-31.02,-44.13
3600,-1.27,-21.44,-31.61,-42.15
3700,-1.34,-21.68,-31.55,-39.35
3800,-1.43,-21.97,-30.36,-37.89
3900,-1.46,-22.34,-28.66,-38.21
4000,-1.39,-22.50,-27.93,-39.40
4100,-1.29,-22.34,-28.42,-40.71
4200,-1.21,-22.27,-28.92,-41.89
4300,-1.17,-22.40,-28.88,-42.80
