Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.97,-11.46,-29.86,-25.55
45,1.38,-14.00,-30.05,-33.58
50,1.04,-15.44,-30.94,-37.75
60,0.93,-16.53,-31.76,-39.19
70,0.85,-18.43,-32.49,-41.28
80,0.65,-20.40,-33.81,-44.99
90,0.45,-20.79,-35.03,-48.68
100,0.43,-19.95,-35.35,-50.98
120,0.53,-19.96,-35.32,-52.45
140,0.66,-21.51,-35.44,-54.24
160,0.80,-23.15,-35.50,-56.28
180,0.87,-23.54,-35.59,-57.67
200,0.86,-22.85,-36.00,-58.32
220,0.82,-21.93,-36.50,-58.83
240,0.81,-21.46,-36.73,-59.12
260,0.77,-21.65,-36.73,-58.57
280,0.72,-22.03,-36.88,-57.80
300,0.73,-22.11,-37.40,-58.31
320,0.78,-21.96,-37.89,-59.56
340,0.77,-21.93,-37.96,-59.30
360,0.77,-22.09,-38.18,-56.97
380,0.84,-22.03,-39.06,-54.26
400,0.91,-21.39,-40.01,-52.85
420,0.91,-20.71,-40.48,-52.71
440,0.86,-20.96,-41.41,-52.33
460,0.80,-21.76,-44.04,-51.15
480,0.76,-21.76,-47.25,-50.57
500,0.76,-20.85,-47.85,-51.10
520,0.73,-20.43,-45.22,-51.51
540,0.65,-21.08,-43.77,-51.55
560,0.57,-21.68,-47.14,-52.45
580,0.54,-21.21,-52.49,-54.26
600,0.56,-20.24,-54.33,-55.26
620,0.56,-20.05,-51.56,-54.33
640,0.49,-20.84,-47.77,-52.80
660,0.40,-21.61,-46.31,-52.65
680,0.36,-21.46,-47.10,-53.92
700,0.37,-20.51,-47.96,-55.28
720,0.35,-19.62,-47.86,-56.00
740,0.28,-19.63,-47.45,-55.80
760,0.22,-20.61,-47.25,-54.96
780,0.21,-21.81,-46.83,-54.61
800,0.25,-22.34,-45.91,-55.51
820,0.26,-21.85,-45.13,-56.89
840,0.25,-20.75,-45.10,-57.73
860,0.24,-20.04,-45.22,-57.82
880,0.20,-20.32,-44.42,-57.12
900,0.13,-21.15,-42.90,-55.75
