Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.99,-10.14,-30.11,-26.45
45,1.37,-13.17,-30.22,-33.29
50,1.07,-15.31,-31.16,-37.31
60,1.01,-16.87,-31.90,-39.30
70,0.91,-18.72,-32.32,-41.67
80,0.68,-20.65,-33.38,-45.03
90,0.49,-21.35,-34.48,-48.43
100,0.47,-20.70,-34.71,-51.12
120,0.60,-20.46,-34.51,-52.64
140,0.75,-21.58,-34.47,-53.12
160,0.86,-22.83,-34.55,-53.87
180,0.88,-22.98,-34.77,-55.98
200,0.84,-22.36,-35.15,-58.04
220,0.82,-21.72,-35.42,-57.90
240,0.83,-21.42,-35.46,-56.15
260,0.80,-21.55,-35.42,-54.99
280,0.77,-21.92,-35.47,-55.49
300,0.77,-22.16,-35.72,-57.12
320,0.79,-22.00,-36.03,-57.70
340,0.77,-21.57,-35.97,-55.32
360,0.78,-21.44,-35.60,-51.95
380,0.86,-21.73,-35.76,-51.14
400,0.92,-21.63,-36.80,-52.68
420,0.91,-20.90,-37.97,-53.50
440,0.88,-20.71,-38.85,-52.31
460,0.83,-21.45,-40.03,-50.40
480,0.77,-21.73,-41.59,-49.60
500,0.73,-20.87,-42.18,-51.00
520,0.71,-20.20,-41.21,-53.77
540,0.66,-20.78,-40.45,-55.18
560,0.60,-21.64,-41.85,-54.06
580,0.56,-21.37,-44.77,-52.58
600,0.56,-20.26,-46.58,-52.56
620,0.55,-19.81,-45.77,-53.30
640,0.50,-20.57,-43.88,-53.90
660,0.44,-21.57,-43.71,-54.50
680,0.40,-21.66,-46.16,-55.06
700,0.37,-20.75,-49.72,-55.11
720,0.31,-19.75,-51.97,-54.90
740,0.24,-19.66,-51.29,-55.04
760,0.22,-20.59,-48.44,-55.27
780,0.24,-21.72,-46.37,-54.92
800,0.27,-22.22,-47.04,-54.54
820,0.25,-21.79,-48.96,-55.03
840,0.22,-20.80,-49.60,-55.86
860,0.20,-20.10,-49.54,-55.99
880,0.16,-20.26,-51.41,-55.60
900,0.10,-20.97,-55.02,-55.16
920,0.05,-21.65,-57.32,-54.51
940,0.02,-22.12,-56.71,-53.63
960,0.01,-22.22,-54.44,-52.87
980,0.01,-21.70,-52.95,-52.62
1000,0.00,-20.79,-53.93,-52.90
1100,-0.01,-20.09,-56.10,-53.03
1200,-0.03,-19.84,-56.47,-52.37
1300,-0.06,-19.80,-54.95,-51.67
1400,-0.09,-19.77,-54.11,-51.77
1500,-0.12,-19.73,-53.85,-51.84
1600,-0.14,-19.64,-51.78,-50.92
1700,-0.16,-19.56,-48.92,-49.90
1800,-0.19,-19.63,-48.36,-49.86
1900,-0.21,-19.67,-48.75,-49.74
2000,-0.24,-19.49,-46.63,-48.15
2100,-0.29,-19.50,-43.63,-46.31
2200,-0.33,-19.92,-43.60,-46.59
2300,-0.33,-20.16,-45.67,-48.56
2400,-0.34,-19.86,-46.34,-49.41
2500,-0.41,-19.71,-44.70,-47.91
2600,-0.48,-20.25,-42.33,-46.01
2700,-0.49,-20.82,-41.45,-46.01
2800,-0.46,-20.65,-43.12,-47.42
2900,-0.48,-20.14,-45.64,-48.09
3000,-0.56,-20.25,-46.61,-47.70
3100,-0.63,-21.12,-45.59,-47.57
3200,-0.63,-21.96,-43.67,-48.01
3300,-0.59,-22.00,-42.53,-48.61
3400,-0.56,-21.44,-43.05,-49.36
3500,-0.59,-21.06,-43.97,-49.28
3600,-0.68,-21.33,-43.71,-47.38
3700,-0.74,-22.09,-42.59,-45.24
3800,-0.72,-22.85,-41.43,-45.06
3900,-0.66,-23.08,-40.30,-46.50
4000,-0.61,-22.63,-39.52,-48.08
4100,-0.60,-21.99,-39.57,-49.02
4200,-0.63,-21.84,-40.39,-48.81
4300,-0.68,-22.29,-41.82,-47.73
4400,-0.70,-22.88,-43.14,-46.90
4500,-0.68,-23.30,-42.63,-46.68
4600,-0.63,-23.44,-40.19,-46.51
4700,-0.51,-23.03,-38.59,-46.23
4800,-0.43,-21.99,-39.73,-46.72
4900,-0.60,-21.11,-41.80,-48.90
5000,-0.99,-21.22,-42.34,-51.66
5100,-1.20,-22.06,-41.62,-52.19
5200,-1.07,-22.79,-40.79,-49.85
5300,-0.81,-23.24,-39.51,-47.09
5400,-0.65,-23.51,-37.63,-46.02
5500,-0.59,-23.34,-36.52,-47.28
5600,-0.51,-22.60,-36.98,-50.60
