Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.74,-11.64,-29.71,-27.01
45,1.16,-14.06,-30.38,-33.65
50,0.89,-15.56,-31.29,-37.71
60,0.86,-17.07,-31.77,-39.67
70,0.77,-19.45,-32.26,-41.80
80,0.53,-21.43,-33.71,-45.30
90,0.34,-21.52,-35.13,-49.26
100,0.34,-20.52,-35.27,-52.09
120,0.45,-20.51,-34.79,-53.68
140,0.57,-21.98,-34.63,-54.86
160,0.67,-23.51,-34.76,-55.89
180,0.74,-23.83,-35.17,-56.85
200,0.75,-23.07,-35.78,-57.23
220,0.75,-22.13,-36.03,-56.26
240,0.73,-21.70,-35.73,-55.28
260,0.68,-21.82,-35.59,-56.45
280,0.64,-22.13,-36.14,-58.99
300,0.68,-22.26,-36.98,-60.39
320,0.72,-22.13,-37.18,-59.80
340,0.70,-21.93,-36.67,-58.09
360,0.72,-21.93,-36.61,-56.59
380,0.80,-21.96,-37.62,-55.75
400,0.85,-21.62,-38.73,-54.68
420,0.82,-21.17,-39.27,-52.63
440,0.76,-21.19,-40.09,-50.53
460,0.73,-21.56,-41.84,-49.88
480,0.72,-21.54,-43.54,-50.79
500,0.71,-21.08,-43.73,-51.91
520,0.66,-20.86,-42.67,-52.04
540,0.58,-21.15,-42.57,-51.54
560,0.53,-21.42,-44.63,-51.56
580,0.53,-21.15,-47.03,-52.32
600,0.53,-20.60,-47.26,-53.15
620,0.50,-20.43,-45.64,-53.79
640,0.42,-20.79,-45.03,-54.29
660,0.36,-21.20,-47.10,-54.29
680,0.35,-21.14,-49.72,-53.73
700,0.34,-20.54,-50.06,-53.69
720,0.29,-19.96,-48.79,-54.72
740,0.22,-20.06,-48.40,-55.72
760,0.19,-20.73,-48.97,-55.75
780,0.21,-21.36,-49.17,-55.32
800,0.24,-21.64,-49.33,-54.96
820,0.24,-21.46,-50.31,-54.36
840,0.22,-20.87,-51.18,-53.45
860,0.18,-20.43,-50.61,-52.79
880,0.13,-20.65,-48.94,-52.66
900,0.05,-21.14,-47.26,-52.89
920,-0.02,-21.34,-45.96,-53.22
940,-0.04,-21.37,-45.19,-53.37
960,-0.01,-21.46,-45.00,-53.28
980,0.01,-21.31,-44.89,-53.24
1000,0.00,-20.73,-44.40,-53.08
1100,-0.04,-20.11,-43.87,-52.47
1200,-0.07,-19.80,-43.30,-52.13
1300,-0.08,-19.75,-42.05,-52.63
1400,-0.10,-19.77,-40.28,-52.85
1500,-0.13,-19.75,-39.01,-51.73
1600,-0.15,-19.67,-38.56,-50.02
1700,-0.17,-19.59,-38.71,-49.04
1800,-0.19,-19.59,-39.14,-49.12
1900,-0.20,-19.63,-39.02,-49.82
2000,-0.23,-19.62,-37.87,-50.20
2100,-0.29,-19.66,-36.48,-49.52
2200,-0.34,-19.87,-35.81,-48.49
2300,-0.33,-20.07,-35.83,-48.63
2400,-0.32,-20.04,-35.98,-49.28
2500,-0.39,-20.02,-35.67,-48.48
2600,-0.48,-20.26,-34.40,-47.05
2700,-0.48,-20.58,-32.71,-47.09
2800,-0.43,-20.67,-31.97,-47.26
2900,-0.45,-20.63,-32.56,-45.14
3000,-0.54,-20.81,-33.57,-42.49
3100,-0.62,-21.22,-33.92,-42.88
3200,-0.61,-21.58,-33.10,-45.92
3300,-0.54,-21.66,-31.69,-48.03
3400,-0.49,-21.54,-31.09,-47.37
