Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.97,-12.28,-31.11,-27.37
45,1.29,-14.42,-30.84,-33.29
50,0.92,-16.44,-31.52,-36.49
60,0.87,-18.48,-32.00,-38.09
70,0.85,-20.36,-32.30,-40.41
80,0.67,-21.46,-33.86,-43.52
90,0.51,-21.65,-35.94,-45.98
100,0.60,-21.26,-36.53,-47.11
120,0.78,-20.46,-35.82,-47.45
140,0.76,-19.75,-35.50,-47.80
160,0.60,-19.99,-36.12,-48.18
180,0.54,-20.91,-37.03,-48.28
200,0.62,-21.27,-37.63,-48.43
220,0.69,-20.92,-37.92,-48.89
240,0.70,-20.85,-38.21,-48.85
260,0.71,-21.43,-38.41,-47.77
280,0.75,-22.13,-38.28,-46.49
300,0.79,-22.39,-38.39,-45.61
320,0.79,-22.03,-39.30,-44.90
340,0.73,-21.17,-40.18,-44.46
360,0.68,-20.21,-40.40,-44.46
380,0.67,-19.66,-40.86,-44.16
400,0.67,-19.71,-41.81,-43.17
420,0.66,-20.09,-41.83,-42.59
440,0.65,-20.44,-40.60,-43.17
460,0.62,-20.58,-40.34,-43.79
480,0.51,-20.55,-42.61,-43.34
500,0.42,-20.45,-45.36,-42.60
520,0.42,-20.46,-45.37,-43.02
540,0.42,-20.56,-43.06,-44.45
560,0.32,-20.56,-42.33,-45.32
580,0.17,-20.42,-45.09,-44.91
600,0.11,-20.31,-48.65,-44.16
620,0.14,-20.36,-49.64,-44.08
640,0.18,-20.53,-47.97,-44.72
660,0.13,-20.68,-45.61,-45.48
680,0.03,-20.57,-44.51,-45.54
700,-0.05,-20.14,-45.78,-44.64
720,-0.09,-19.75,-48.58,-43.79
740,-0.10,-19.91,-50.26,-44.00
760,-0.09,-20.67,-49.40,-44.85
780,-0.11,-21.48,-47.35,-45.36
800,-0.17,-21.76,-45.85,-45.60
820,-0.22,-21.48,-44.89,-45.88
840,-0.23,-21.16,-44.02,-45.71
860,-0.24,-21.14,-43.44,-44.93
880,-0.25,-21.20,-42.84,-44.29
900,-0.26,-21.20,-41.43,-44.13
920,-0.30,-21.41,-39.82,-44.18
940,-0.40,-21.80,-39.38,-44.42
960,-0.50,-21.77,-39.61,-44.79
980,-0.52,-21.12,-38.93,-44.99
1000,-0.49,-20.42,-37.66,-45.24
1100,-0.50,-20.18,-37.16,-45.72
1200,-0.57,-20.24,-37.14,-45.66
1300,-0.65,-20.22,-36.58,-44.46
1400,-0.71,-20.10,-35.88,-42.82
1500,-0.75,-20.07,-35.71,-41.78
1600,-0.78,-20.10,-35.62,-41.59
1700,-0.81,-20.05,-35.32,-41.55
1800,-0.87,-20.00,-35.50,-41.01
1900,-0.93,-20.05,-36.69,-40.53
2000,-0.98,-20.07,-38.13,-41.18
2100,-1.03,-20.05,-38.46,-42.60
2200,-1.13,-20.18,-37.25,-43.05
2300,-1.22,-20.49,-35.24,-41.52
2400,-1.24,-20.67,-33.51,-39.13
2500,-1.25,-20.60,-32.87,-38.05
2600,-1.32,-20.53,-33.15,-38.78
2700,-1.44,-20.69,-33.14,-39.60
2800,-1.49,-21.02,-32.31,-39.35
2900,-1.46,-21.23,-31.76,-39.23
3000,-1.47,-21.26,-32.48,-40.41
3100,-1.55,-21.29,-33.50,-41.56
3200,-1.64,-21.48,-33.15,-40.61
3300,-1.65,-21.73,-31.17,-38.04
3400,-1.59,-21.89,-28.83,-36.40
3500,-1.53,-21.85,-27.86,-37.05
3600,-1.53,-21.70,-28.77,-38.94
3700,-1.60,-21.79,-29.95,-40.21
3800,-1.66,-22.19,-29.63,-40.02
3900,-1.65,-22.51,-28.33,-39.39
4000,-1.59,-22.58,-27.76,-40.14
4100,-1.54,-22.56,-28.09,-42.07
4200,-1.50,-22.37,-28.23,-42.90
4300,-1.49,-21.99,-27.96,-41.71
4400,-1.52,-21.92,-27.92,-40.10
4500,-1.58,-22.25,-28.06,-39.48
4600,-1.56,-22.23,-27.81,-39.51
4700,-1.42,-21.64,-27.31,-39.30
4800,-1.36,-21.37,-27.18,-38.84
4900,-1.52,-21.81,-27.32,-38.91
5000,-1.73,-22.11,-26.96,-39.70
5100,-1.75,-21.85,-25.98,-40.35
5200,-1.66,-21.64,-25.39,-40.65
5300,-1.59,-21.86,-26.19,-41.43
5400,-1.55,-22.06,-28.10,-42.59
5500,-1.46,-21.89,-29.93,-43.09
5600,-1.35,-21.64,-30.78,-42.91
5700,-1.28,-21.63,-30.58,-42.98
5800,-1.25,-21.77,-29.84,-43.51
5900,-1.24,-21.69,-29.39,-43.81
6000,-1.22,-21.24,-29.20,-43.11
6100,-1.21,-20.72,-27.91,-41.13
6200,-1.21,-20.61,-24.97,-38.65
6300,-1.19,-20.92,-22.25,-37.05
6400,-1.14,-21.11,-21.46,-36.70
6500,-1.06,-20.82,-21.76,-36.98
6600,-0.97,-20.35,-21.89,-37.94
6700,-0.92,-20.22,-22.21,-40.07
6800,-0.95,-20.49,-23.06,-42.32
6900,-1.00,-20.74,-23.64,-42.73
7000,-0.97,-20.70,-23.52,-40.99
7100,-0.88,-20.39,-23.23,-38.96
7200,-0.85,-19.92,-23.27,-38.43
7300,-0.93,-19.49,-23.63,-39.08
7400,-1.03,-19.32,-24.06,-39.41
7500,-1.04,-19.37,-24.39,-39.02
7600,-0.97,-19.39,-24.74,-39.02
7700,-0.86,-19.13,-25.23,-39.82
7800,-0.76,-18.67,-25.70,-40.26
7900,-0.68,-18.25,-25.98,-39.65
8000,-0.61,-18.06,-26.09,-39.18
8100,-0.54,-18.06,-26.14,-40.16
8200,-0.47,-18.07,-26.31,-41.87
8300,-0.40,-17.97,-26.63,-42.74
8400,-0.31,-17.82,-26.90,-42.41
8500,-0.23,-17.66,-27.01,-41.61
8600,-0.22,-17.45,-27.24,-40.67
8700,-0.27,-17.26,-27.83,-39.67
8800,-0.31,-17.23,-28.56,-39.13
8900,-0.23,-17.40,-29.08,-39.34
9000,-0.09,-17.66,-29.28,-39.67
9100,-0.04,-17.91,-29.05,-39.67
9200,-0.13,-18.06,-28.54,-39.77
9300,-0.16,-17.94,-28.40,-40.29
9400,-0.01,-17.43,-28.99,-40.66
9500,0.20,-16.87,-29.56,-40.27
9600,0.33,-16.70,-29.45,-39.60
9700,0.38,-16.87,-29.13,-39.87
9800,0.41,-16.98,-29.54,-41.34
9900,0.43,-16.97,-30.64,-42.63
10000,0.46,-16.96,-31.53,-42.52
10100,0.51,-16.89,-31.70,-41.58
10200,0.54,-16.72,-31.71,-41.24
10300,0.48,-16.77,-32.59,-41.96
10400,0.36,-17.33,-34.45,-42.94
10500,0.27,-18.25,-35.86,-43.25
10600,0.25,-19.15,-35.79,-43.02
10700,0.25,-19.78,-35.27,-42.94
10800,0.25,-19.99,-35.18,-43.19
10900,0.25,-19.66,-34.69,-43.34
11000,0.28,-19.04,-33.70,-43.21
11100,0.33,-18.54,-33.35,-42.93
11200,0.36,-18.33,-33.77,-42.64
11300,0.36,-18.56,-34.22,-42.56
11400,0.32,-19.34,-35.31,-42.91
11500,0.25,-20.29,-37.72,-43.41
11600,0.18,-20.90,-39.66,-43.64
11700,0.15,-21.24,-38.78,-43.60
11800,0.15,-21.86,-36.34,-43.23
11900,0.13,-23.07,-35.68,-42.37
12000,0.06,-24.36,-37.00,-41.65
12100,-0.03,-24.75,-37.72,-41.98
12200,-0.13,-24.09,-37.12,-43.13
12300,-0.24,-23.40,-37.11,-44.17
12400,-0.37,-23.28,-38.59,-44.45
12500,-0.46,-23.12,-40.09,-43.55
12600,-0.49,-22.52,-40.51,-41.88
12700,-0.52,-22.13,-41.01,-40.93
12800,-0.58,-22.51,-43.32,-41.37
12900,-0.65,-23.11,-46.68,-42.22
13000,-0.70,-22.97,-47.61,-42.55
13100,-0.72,-21.99,-45.09,-42.38
13200,-0.73,-21.00,-43.65,-41.97
13300,-0.76,-20.53,-46.42,-41.66
13400,-0.82,-20.17,-48.74,-41.92
13500,-0.91,-19.47,-45.68,-42.73
13600,-0.99,-18.67,-40.82,-43.37
13700,-1.03,-18.19,-40.42,-43.39
13800,-1.05,-17.94,-43.57,-43.25
13900,-1.03,-17.68,-44.65,-43.67
14000,-1.03,-17.51,-42.30,-44.41
14100,-1.08,-17.69,-40.07,-44.56
14200,-1.16,-18.24,-39.62,-43.85
14300,-1.26,-18.75,-39.34,-42.99
14400,-1.36,-18.76,-38.78,-42.70
14500,-1.48,-18.17,-38.99,-42.82
14600,-1.67,-17.37,-39.66,-42.83
14700,-1.89,-16.63,-39.59,-43.15
14800,-2.01,-15.90,-38.61,-45.05
14900,-1.99,-15.33,-37.37,-48.47
15000,-1.94,-15.62,-36.39,-51.36
15100,-2.00,-17.14,-36.10,-52.64
15200,-2.14,-19.01,-36.79,-53.70
15300,-2.24,-20.05,-38.16,-55.76
15400,-2.33,-20.27,-39.61,
15500,-2.44,-20.24,-40.79,
15600,-2.58,-20.20,-41.62,
15700,-2.69,-20.20,-41.99,
15800,-2.77,-20.36,-41.94,
15900,-2.83,-20.57,-41.70,
16000,-2.87,-20.68,-41.60,
16100,-2.90,-20.81,-42.05,
16200,-2.98,-21.07,-43.22,
16300,-3.09,-21.30,-44.50,
16400,-3.17,-21.30,-44.71,
16500,-3.22,-21.24,-42.97,
16600,-3.34,-21.46,-40.08,
16700,-3.51,-21.92,-38.71,
16800,-3.63,-22.25,-39.86,
16900,-3.62,-22.23,-40.85,
17000,-3.54,-21.93,-39.65,
17100,-3.45,-21.53,-37.90,
17200,-3.40,-21.18,-37.59,
17300,-3.48,-20.91,-38.24,
17400,-3.72,-20.63,-38.84,
17500,-4.02,-20.38,-39.52,
17600,-4.24,-20.25,-40.27,
17700,-4.40,-20.43,-40.22,
