Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.68,-13.62,-31.24,-28.77
45,1.19,-14.07,-31.20,-33.71
50,0.86,-15.41,-31.71,-36.77
60,0.73,-17.42,-31.68,-38.96
70,0.67,-19.40,-31.56,-41.66
80,0.55,-20.93,-33.02,-44.43
90,0.48,-21.77,-35.15,-46.61
100,0.58,-21.90,-35.76,-48.40
120,0.74,-21.47,-35.15,-50.03
140,0.75,-20.69,-35.18,-51.28
160,0.62,-20.21,-35.97,-51.86
180,0.54,-20.60,-36.32,-51.65
200,0.56,-21.35,-36.10,-50.95
220,0.60,-21.62,-36.06,-50.20
240,0.65,-21.48,-36.35,-49.40
260,0.70,-21.52,-36.51,-48.63
280,0.76,-21.97,-36.20,-48.10
300,0.80,-22.62,-35.91,-47.41
320,0.79,-23.01,-36.45,-46.33
340,0.72,-22.75,-37.26,-45.73
360,0.67,-21.96,-37.07,-45.91
380,0.69,-21.09,-36.46,-45.71
400,0.69,-20.39,-36.87,-44.60
420,0.64,-20.21,-37.75,-43.64
440,0.59,-20.71,-37.53,-43.42
460,0.55,-21.22,-36.65,-43.32
480,0.49,-20.95,-37.01,-43.19
500,0.45,-20.41,-38.77,-43.50
520,0.45,-20.64,-40.03,-44.08
540,0.43,-21.34,-39.59,-44.31
560,0.36,-21.37,-38.58,-44.25
580,0.26,-20.62,-38.72,-44.47
600,0.19,-20.16,-40.12,-45.02
620,0.20,-20.61,-41.59,-45.25
640,0.21,-21.33,-42.19,-44.78
660,0.18,-21.45,-41.53,-44.27
680,0.11,-20.89,-40.26,-44.44
700,0.03,-20.19,-40.01,-45.11
720,-0.03,-19.92,-41.22,-45.67
740,-0.06,-20.38,-42.59,-45.81
760,-0.05,-21.28,-43.27,-45.63
780,-0.06,-21.91,-43.29,-45.62
800,-0.09,-21.89,-42.45,-46.18
820,-0.13,-21.45,-40.83,-47.13
840,-0.15,-21.05,-39.68,-47.87
860,-0.18,-21.10,-40.10,-48.27
880,-0.20,-21.71,-41.69,-48.80
900,-0.22,-22.40,-43.17,-49.61
920,-0.26,-22.60,-43.73,-50.11
940,-0.33,-22.31,-43.58,-50.02
960,-0.39,-21.88,-43.33,-49.98
980,-0.40,-21.52,-43.15,-50.23
1000,-0.39,-21.19,-42.82,-50.13
1100,-0.42,-20.87,-42.20,-49.41
1200,-0.48,-20.61,-41.30,-48.32
1300,-0.54,-20.49,-40.31,-46.99
1400,-0.60,-20.48,-39.48,-45.91
1500,-0.64,-20.47,-38.75,-45.48
1600,-0.67,-20.44,-38.24,-45.07
1700,-0.69,-20.48,-38.52,-44.41
1800,-0.73,-20.46,-39.57,-44.44
1900,-0.79,-20.28,-40.27,-45.34
2000,-0.83,-20.28,-39.92,-46.08
2100,-0.89,-20.57,-38.84,-46.11
2200,-0.98,-20.62,-37.58,-45.83
2300,-1.05,-20.30,-37.08,-45.64
2400,-1.05,-20.38,-38.13,-45.39
2500,-1.05,-21.12,-39.44,-44.79
2600,-1.10,-21.53,-38.97,-43.99
2700,-1.20,-21.01,-37.37,-43.39
2800,-1.25,-20.42,-36.80,-42.87
2900,-1.24,-20.78,-37.31,-42.38
3000,-1.25,-21.81,-37.60,-42.59
3100,-1.32,-22.32,-37.37,-43.35
3200,-1.40,-21.86,-36.62,-43.57
3300,-1.41,-21.10,-35.24,-43.60
3400,-1.35,-20.95,-34.26,-44.42
3500,-1.29,-21.60,-34.60,-44.66
3600,-1.29,-22.40,-35.07,-42.46
3700,-1.34,-22.55,-34.00,-39.55
3800,-1.40,-22.02,-32.18,-39.09
3900,-1.41,-21.45,-31.76,-41.13
4000,-1.35,-21.28,-32.76,-43.13
4100,-1.26,-21.63,-33.31,-43.70
4200,-1.20,-22.45,-33.36,-43.81
4300,-1.18,-23.26,-34.35,-44.42
4400,-1.21,-23.34,-35.28,-44.61
4500,-1.31,-22.72,-33.93,-43.21
4600,-1.33,-22.10,-31.40,-41.27
4700,-1.21,-21.75,-30.68,-40.71
4800,-1.07,-21.46,-32.08,-41.36
4900,-1.13,-21.40,-33.34,-41.30
5000,-1.33,-21.86,-33.14,-39.95
5100,-1.41,-22.41,-32.21,-38.98
5200,-1.33,-22.37,-31.79,-39.66
5300,-1.25,-21.89,-32.22,-41.11
5400,-1.22,-21.58,-33.06,-41.97
5500,-1.15,-21.50,-34.01,-42.10
5600,-1.03,-21.29,-34.77,-41.83
5700,-0.91,-20.96,-34.61,-41.01
5800,-0.85,-20.93,-33.40,-39.98
5900,-0.83,-21.31,-32.53,-39.90
6000,-0.79,-21.69,-33.20,-40.75
6100,-0.76,-21.65,-34.43,-40.85
6200,-0.77,-21.17,-34.76,-39.65
6300,-0.79,-20.62,-34.25,-38.33
6400,-0.77,-20.22,-33.69,-37.60
6500,-0.68,-19.91,-33.47,-37.18
6600,-0.55,-19.54,-33.69,-36.97
6700,-0.42,-19.19,-34.14,-37.55
6800,-0.34,-19.06,-34.59,-39.35
6900,-0.33,-19.21,-34.78,-41.39
7000,-0.31,-19.44,-34.64,-41.69
7100,-0.23,-19.50,-34.49,-40.28
7200,-0.15,-19.36,-35.14,-39.73
7300,-0.15,-19.06,-37.54,-41.42
7400,-0.21,-18.66,-41.77,-43.29
7500,-0.25,-18.30,-45.75,-43.00
7600,-0.21,-18.08,-46.28,-41.44
7700,-0.13,-17.92,-42.87,-41.16
7800,-0.01,-17.71,-38.71,-42.23
7900,0.12,-17.45,-36.31,-42.50
8000,0.24,-17.22,-35.36,-41.59
8100,0.31,-17.11,-35.28,-41.43
8200,0.35,-17.19,-35.92,-42.94
8300,0.36,-17.41,-36.73,-44.61
8400,0.39,-17.59,-37.77,-44.78
8500,0.45,-17.62,-38.82,-43.36
8600,0.52,-17.53,-38.65,-41.60
8700,0.51,-17.37,-38.09,-41.22
8800,0.45,-17.15,-39.40,-42.68
8900,0.47,-16.95,-41.73,-44.32
9000,0.62,-16.85,-42.79,-44.08
9100,0.67,-16.85,-42.51,-42.06
9200,0.46,-16.85,-41.52,-40.59
9300,0.33,-16.74,-40.61,-41.44
9400,0.58,-16.57,-41.23,-43.24
9500,0.97,-16.39,-42.56,-43.41
9600,1.12,-16.21,-41.80,-42.02
9700,1.13,-16.17,-40.19,-41.60
9800,1.17,-16.39,-41.91,-43.23
9900,1.22,-16.73,-45.55,-44.94
10000,1.21,-16.85,-45.24,-44.54
10100,1.18,-16.68,-40.82,-42.45
10200,1.19,-16.45,-38.83,-40.94
10300,1.19,-16.40,-42.13,-41.28
10400,1.09,-16.60,-45.36,-42.35
10500,0.97,-16.95,-43.98,-42.24
10600,0.92,-17.36,-41.00,-40.82
10700,0.94,-17.90,-40.17,-39.70
10800,0.91,-18.90,-40.25,-39.74
10900,0.79,-20.44,-39.85,-40.20
11000,0.66,-21.71,-40.05,-40.04
11100,0.67,-21.74,-40.94,-39.33
11200,0.77,-20.85,-41.08,-39.23
11300,0.82,-20.26,-39.65,-40.42
11400,0.77,-20.49,-37.85,-41.98
11500,0.71,-21.12,-38.66,-42.55
11600,0.68,-21.72,-42.87,-41.99
11700,0.69,-22.08,-45.64,-41.64
11800,0.68,-22.28,-42.36,-42.51
11900,0.60,-22.60,-36.63,-42.72
12000,0.47,-23.16,-35.44,-40.16
12100,0.34,-23.87,-38.03,-37.30
12200,0.26,-24.65,-38.09,-38.01
12300,0.21,-25.44,-35.41,-41.01
12400,0.09,-26.24,-36.01,-42.35
12500,-0.06,-27.26,-40.90,-41.56
12600,-0.10,-28.52,-44.09,-40.32
12700,0.01,-29.32,-43.08,-39.09
12800,0.10,-29.28,-42.35,-38.04
12900,0.06,-29.25,-44.45,-37.80
13000,-0.03,-30.02,-45.67,-38.29
13100,-0.11,-30.74,-43.11,-39.10
13200,-0.17,-30.16,-39.20,-40.02
13300,-0.23,-28.60,-36.73,-40.62
13400,-0.27,-27.24,-35.91,-40.99
13500,-0.30,-26.33,-37.07,-42.37
13600,-0.32,-25.37,-40.60,-45.20
13700,-0.36,-24.49,-44.99,-47.84
13800,-0.45,-24.26,-48.34,-47.96
13900,-0.52,-24.73,-48.57,-45.13
14000,-0.47,-25.28,-43.68,-42.64
14100,-0.36,-25.36,-37.20,-44.87
14200,-0.37,-25.02,-36.16,-51.14
14300,-0.54,-24.70,-39.56,-54.97
14400,-0.76,-24.63,-39.61,-52.26
14500,-0.88,-24.69,-35.12,-47.20
14600,-0.83,-24.66,-32.26,-46.33
14700,-0.80,-24.37,-33.57,-49.67
14800,-1.01,-23.80,-35.68,-52.20
14900,-1.35,-23.23,-35.99,-52.03
15000,-1.44,-23.03,-35.21,-51.84
15100,-1.29,-23.16,-34.35,-53.18
15200,-1.25,-23.22,-33.87,-54.47
15300,-1.41,-22.92,-34.14,-54.50
15400,-1.57,-22.38,-34.52,
15500,-1.61,-21.75,-33.72,
15600,-1.58,-21.10,-32.09,
15700,-1.55,-20.53,-31.33,
15800,-1.55,-20.21,-31.89,
15900,-1.60,-20.26,-32.45,
16000,-1.67,-20.62,-31.98,
16100,-1.67,-21.00,-31.33,
16200,-1.68,-21.23,-32.36,
16300,-1.79,-21.47,-35.26,
16400,-1.96,-22.12,-37.77,
16500,-2.06,-23.23,-37.49,
16600,-2.05,-24.29,-34.28,
