Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.86,-11.22,-30.08,-25.63
45,1.28,-14.22,-30.34,-32.64
50,0.99,-15.45,-31.30,-36.69
60,0.94,-16.19,-32.03,-38.71
70,0.85,-18.51,-32.44,-41.23
80,0.62,-21.49,-33.44,-44.57
90,0.43,-22.35,-34.59,-47.46
100,0.41,-20.99,-34.98,-49.51
120,0.50,-20.28,-34.86,-51.41
140,0.63,-21.62,-34.73,-53.42
160,0.76,-23.37,-34.70,-55.17
180,0.81,-23.77,-34.93,-56.83
200,0.78,-22.97,-35.39,-58.37
220,0.79,-22.06,-35.70,-58.44
240,0.83,-21.71,-35.80,-56.66
260,0.82,-21.90,-36.04,-55.40
280,0.76,-22.19,-36.59,-57.15
300,0.76,-22.30,-37.01,-60.72
320,0.79,-22.17,-36.81,-62.39
340,0.80,-21.97,-36.43,-61.04
360,0.80,-21.96,-36.87,-58.90
380,0.83,-21.94,-38.09,-57.16
400,0.88,-21.54,-39.12,-55.30
420,0.88,-21.11,-39.93,-53.75
440,0.82,-21.25,-41.27,-52.94
460,0.75,-21.64,-43.03,-51.94
480,0.74,-21.52,-44.02,-50.93
500,0.74,-21.00,-43.74,-51.76
520,0.69,-20.84,-43.39,-54.33
540,0.60,-21.18,-44.50,-55.75
560,0.54,-21.39,-46.72,-54.85
580,0.53,-21.04,-48.20,-53.81
600,0.53,-20.55,-48.14,-54.02
620,0.50,-20.55,-47.39,-54.32
640,0.44,-21.02,-47.17,-54.01
660,0.39,-21.39,-48.34,-53.73
680,0.37,-21.32,-50.30,-53.82
700,0.36,-20.76,-51.12,-53.91
720,0.31,-20.08,-49.97,-53.60
740,0.23,-19.93,-48.43,-53.10
760,0.19,-20.51,-48.03,-53.17
780,0.21,-21.30,-48.60,-53.94
800,0.24,-21.72,-49.50,-54.94
820,0.24,-21.54,-50.70,-56.33
840,0.22,-20.90,-51.88,-57.93
860,0.19,-20.44,-51.70,-58.28
880,0.14,-20.63,-49.08,-56.91
900,0.08,-21.07,-45.35,-55.69
920,0.01,-21.26,-43.42,-56.00
940,-0.01,-21.37,-44.28,-56.69
960,-0.00,-21.50,-45.84,-56.02
980,0.01,-21.27,-45.92,-54.19
1000,0.00,-20.64,-44.62,-52.39
1100,-0.03,-20.06,-43.34,-50.88
1200,-0.06,-19.82,-42.26,-49.71
1300,-0.08,-19.76,-40.55,-49.51
1400,-0.11,-19.69,-38.69,-50.78
1500,-0.14,-19.60,-38.44,-52.90
1600,-0.16,-19.58,-40.03,-54.16
1700,-0.20,-19.66,-41.63,-52.98
1800,-0.23,-19.77,-42.00,-50.14
1900,-0.23,-19.80,-41.45,-48.20
2000,-0.25,-19.77,-40.24,-47.97
2100,-0.30,-19.81,-37.94,-47.70
2200,-0.35,-19.99,-35.24,-46.95
2300,-0.35,-20.12,-34.30,-47.57
2400,-0.35,-20.11,-35.38,-49.11
