Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.84,-10.54,-30.19,-26.47
45,1.33,-13.13,-30.61,-33.48
50,1.01,-15.33,-31.61,-37.79
60,0.88,-17.31,-32.17,-39.97
70,0.79,-19.36,-32.45,-42.20
80,0.66,-20.97,-33.68,-45.31
90,0.53,-21.33,-35.09,-48.56
100,0.49,-20.73,-35.37,-51.26
120,0.55,-20.51,-35.09,-53.56
140,0.68,-21.46,-35.12,-55.63
160,0.82,-22.86,-35.28,-57.04
180,0.87,-23.46,-35.40,-57.48
200,0.81,-22.88,-35.64,-57.45
220,0.73,-21.95,-35.87,-57.63
240,0.71,-21.56,-36.07,-58.04
260,0.70,-21.77,-36.69,-58.17
280,0.70,-22.17,-37.79,-57.73
300,0.72,-22.36,-38.62,-56.93
320,0.74,-22.21,-38.49,-55.80
340,0.71,-21.97,-37.87,-54.73
360,0.70,-21.96,-37.96,-54.50
380,0.79,-22.02,-38.78,-54.70
400,0.89,-21.73,-39.32,-53.96
420,0.91,-21.21,-39.72,-52.49
440,0.86,-21.06,-41.34,-51.47
460,0.81,-21.36,-44.15,-51.12
480,0.78,-21.51,-46.10,-51.29
500,0.77,-21.17,-45.99,-51.87
520,0.73,-20.79,-45.24,-51.99
540,0.66,-20.88,-45.97,-51.32
560,0.60,-21.18,-47.75,-51.00
580,0.57,-21.11,-48.41,-51.92
600,0.57,-20.64,-47.79,-53.27
620,0.54,-20.36,-47.68,-53.71
640,0.48,-20.58,-48.36,-53.22
660,0.43,-20.96,-48.46,-52.92
680,0.40,-21.05,-47.63,-53.58
700,0.38,-20.63,-46.50,-54.93
720,0.33,-19.97,-45.54,-56.24
740,0.25,-19.68,-45.72,-57.20
760,0.20,-20.11,-47.60,-57.62
780,0.22,-20.99,-49.13,-57.18
800,0.27,-21.73,-47.87,-56.28
820,0.28,-21.80,-45.19,-56.11
840,0.24,-21.22,-44.36,-56.87
860,0.20,-20.65,-45.26,-57.30
880,0.15,-20.66,-44.83,-56.87
900,0.09,-20.99,-42.47,-56.46
920,0.04,-21.16,-40.61,-56.11
940,0.03,-21.28,-40.42,-54.91
960,0.02,-21.52,-40.41,-53.51
980,0.01,-21.48,-39.32,-53.60
1000,0.00,-20.93,-37.82,-54.71
1100,-0.02,-20.24,-37.06,-54.54
1200,-0.05,-19.89,-37.11,-52.42
1300,-0.08,-19.85,-37.19,-49.92
1400,-0.11,-19.85,-36.51,-48.71
1500,-0.13,-19.79,-34.97,-49.46
1600,-0.16,-19.68,-33.54,-51.40
1700,-0.19,-19.56,-33.44,-52.50
1800,-0.22,-19.53,-34.55,-51.69
1900,-0.24,-19.60,-35.41,-50.03
