Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
10100,1.50,-18.28,-30.27,-45.71
10200,1.48,-18.60,-29.84,-46.39
10300,1.51,-18.84,-31.15,-46.57
10400,1.54,-19.08,-33.30,-45.73
10500,1.54,-19.69,-35.35,-44.66
10600,1.46,-20.83,-36.68,-44.47
10700,1.34,-22.16,-37.42,-44.97
10800,1.25,-23.10,-37.89,-45.09
10900,1.23,-23.36,-37.89,-44.53
11000,1.28,-23.04,-37.23,-43.75
11100,1.37,-22.57,-36.17,-42.93
11200,1.45,-22.30,-35.20,-42.28
11300,1.48,-22.04,-34.85,-42.28
11400,1.49,-21.76,-35.41,-42.92
11500,1.50,-22.02,-36.32,-43.52
11600,1.47,-23.14,-36.67,-43.85
11700,1.37,-24.69,-36.42,-44.00
11800,1.22,-26.29,-36.12,-43.55
11900,1.07,-28.15,-36.21,-42.29
12000,0.96,-30.28,-37.19,-41.72
12100,0.89,-31.77,-39.33,-43.29
12200,0.83,-32.00,-41.14,-45.57
12300,0.76,-31.94,-40.53,-46.00
12400,0.71,-32.80,-38.81,-44.84
12500,0.67,-33.90,-39.96,-44.28
12600,0.63,-33.61,-44.14,-44.98
12700,0.54,-31.95,-46.18,-46.03
12800,0.46,-30.04,-43.21,-46.59
12900,0.40,-28.27,-39.15,-46.52
13000,0.34,-27.30,-38.63,-46.17
13100,0.29,-28.79,-41.12,-45.77
13200,0.27,-32.54,-42.97,-45.17
13300,0.24,-35.76,-42.35,-44.72
13400,0.17,-36.59,-40.82,-45.16
13500,0.11,-35.78,-40.99,-45.97
13600,0.15,-34.77,-42.38,-45.58
13700,0.22,-34.10,-41.42,-43.58
13800,0.26,-33.78,-37.35,-41.25
13900,0.21,-33.69,-34.97,-39.74
14000,0.08,-33.54,-38.23,-39.03
14100,-0.04,-32.99,-44.43,-39.07
14200,-0.08,-32.41,-48.12,-39.99
14300,-0.05,-32.13,-48.68,-41.04
14400,-0.03,-31.26,-49.37,-41.28
14500,-0.06,-29.16,-50.49,-40.90
14600,-0.13,-27.25,-49.66,-40.52
14700,-0.27,-27.09,-47.39,-40.42
14800,-0.42,-27.95,-46.03,-41.31
14900,-0.51,-28.16,-45.58,-43.76
15000,-0.59,-27.51,-44.26,-46.63
15100,-0.71,-27.03,-41.49,-48.36
15200,-0.82,-27.47,-39.07,-49.31
