Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,2.16,-10.31,-31.19,-27.17
45,1.45,-13.87,-30.68,-33.72
50,1.06,-15.71,-31.85,-37.78
60,0.99,-16.45,-33.01,-39.68
70,0.99,-17.92,-33.31,-41.44
80,0.81,-20.06,-34.05,-44.25
90,0.60,-21.03,-35.17,-47.56
100,0.55,-20.58,-35.61,-50.13
120,0.65,-20.50,-35.51,-52.01
140,0.80,-21.54,-35.33,-54.43
160,0.95,-22.64,-35.23,-57.20
180,0.99,-22.99,-35.54,-58.22
200,0.93,-22.65,-36.27,-57.05
220,0.89,-21.94,-36.74,-56.23
240,0.93,-21.45,-36.53,-57.31
260,0.93,-21.58,-36.24,-58.91
280,0.85,-21.99,-36.86,-59.79
300,0.82,-22.06,-38.01,-60.09
320,0.86,-21.84,-38.06,-59.55
340,0.89,-21.88,-37.26,-58.46
360,0.90,-22.26,-37.92,-58.59
380,0.93,-22.31,-40.05,-59.49
400,0.97,-21.62,-41.19,-57.65
420,0.98,-21.00,-41.48,-53.07
440,0.94,-21.25,-43.83,-50.84
460,0.88,-21.78,-48.10,-52.96
480,0.83,-21.59,-50.23,-55.29
500,0.78,-20.97,-48.10,-54.41
520,0.71,-20.93,-45.00,-51.91
540,0.62,-21.41,-45.60,-50.89
560,0.55,-21.51,-49.81,-52.23
580,0.54,-20.93,-52.84,-54.35
600,0.56,-20.42,-51.79,-54.90
620,0.54,-20.66,-48.83,-53.16
640,0.48,-21.32,-47.84,-50.84
660,0.40,-21.58,-50.27,-50.01
680,0.36,-21.18,-53.82,-50.96
700,0.34,-20.55,-54.75,-52.31
720,0.29,-20.23,-52.14,-52.65
740,0.21,-20.44,-48.58,-52.28
760,0.16,-21.04,-46.25,-52.41
780,0.19,-21.66,-44.90,-52.60
800,0.24,-21.92,-44.04,-51.95
820,0.25,-21.65,-44.19,-51.51
840,0.23,-21.16,-44.92,-52.51
860,0.19,-21.10,-44.64,-54.50
880,0.15,-21.54,-43.57,-56.07
900,0.10,-21.88,-43.85,-55.95
920,0.05,-21.81,-45.72,-54.33
940,0.02,-21.72,-46.74,-52.90
960,-0.00,-21.82,-45.63,-52.42
980,-0.00,-21.66,-43.73,-52.18
1000,0.00,-21.00,-42.63,-52.02
1100,-0.01,-20.24,-42.36,-52.42
1200,-0.05,-19.88,-42.05,-53.25
1300,-0.09,-19.90,-41.32,-54.16
1400,-0.12,-19.98,-40.94,-54.43
1500,-0.15,-19.92,-41.05,-53.23
1600,-0.19,-19.81,-40.02,-51.27
1700,-0.23,-19.83,-37.20,-50.24
1800,-0.25,-19.93,-34.65,-50.15
1900,-0.27,-19.92,-34.15,-49.66
2000,-0.31,-19.86,-34.87,-48.77
2100,-0.37,-19.99,-35.13,-48.83
2200,-0.41,-20.19,-34.55,-49.85
2300,-0.40,-20.21,-33.76,-49.98
2400,-0.40,-20.18,-33.40,-49.22
2500,-0.46,-20.36,-33.46,-50.18
2600,-0.53,-20.63,-33.40,-52.82
2700,-0.54,-20.68,-32.91,-52.81
2800,-0.53,-20.61,-32.46,-48.38
2900,-0.57,-20.74,-32.70,-43.86
3000,-0.66,-21.20,-33.36,-43.24
3100,-0.73,-21.72,-33.21,-44.88
3200,-0.72,-21.93,-31.61,-45.78
3300,-0.68,-21.83,-29.48,-45.80
3400,-0.67,-21.73,-28.07,-45.35
3500,-0.73,-21.94,-27.39,-43.69
3600,-0.80,-22.36,-26.94,-41.36
3700,-0.82,-22.77,-26.55,-40.34
3800,-0.80,-23.06,-26.18,-40.98
3900,-0.76,-23.08,-25.89,-41.72
4000,-0.75,-22.80,-26.05,-42.03
4100,-0.78,-22.62,-26.62,-43.23
4200,-0.84,-22.83,-27.23,-45.80
4300,-0.88,-23.05,-27.95,-47.91
4400,-0.89,-23.01,-29.05,-48.13
4500,-0.87,-22.99,-30.09,-47.19
4600,-0.81,-23.09,-30.41,-46.25
4700,-0.68,-22.75,-30.12,-46.04
4800,-0.66,-21.96,-29.63,-47.58
4900,-0.92,-21.68,-29.03,-50.54
5000,-1.27,-22.33,-28.50,-52.47
5100,-1.35,-23.10,-28.24,-51.54
5200,-1.14,-23.35,-28.04,-48.25
5300,-0.92,-23.35,-27.83,-44.58
5400,-0.85,-23.38,-28.25,-42.67
5500,-0.82,-23.22,-29.49,-43.55
5600,-0.75,-22.77,-30.34,-45.96
5700,-0.69,-22.40,-29.95,-46.77
5800,-0.70,-22.38,-29.45,-44.20
5900,-0.76,-22.51,-30.09,-40.98
6000,-0.75,-22.49,-31.23,-41.37
6100,-0.67,-22.31,-31.71,-44.93
6200,-0.56,-22.17,-31.64,-47.39
6300,-0.49,-22.08,-31.68,-47.24
6400,-0.44,-21.97,-31.95,-46.38
6500,-0.38,-21.78,-32.48,-45.51
6600,-0.31,-21.45,-33.26,-43.93
6700,-0.23,-20.96,-33.50,-42.50
6800,-0.18,-20.58,-32.63,-43.09
6900,-0.18,-20.63,-31.69,-45.56
7000,-0.22,-20.97,-31.99,-47.33
7100,-0.24,-21.06,-33.09,-47.02
7200,-0.21,-20.71,-33.46,-46.34
7300,-0.15,-20.28,-32.65,-46.59
7400,-0.09,-20.12,-31.92,-46.81
7500,-0.05,-20.14,-32.61,-46.42
7600,0.00,-20.10,-34.18,-46.03
7700,0.06,-19.87,-35.09,-45.73
7800,0.12,-19.52,-35.20,-45.04
7900,0.18,-19.20,-35.89,-43.96
8000,0.25,-18.96,-37.48,-43.26
8100,0.32,-18.83,-38.51,-43.46
8200,0.33,-18.90,-37.92,-44.32
8300,0.29,-19.18,-36.53,-45.50
8400,0.28,-19.35,-35.69,-46.55
8500,0.35,-19.14,-36.00,-46.33
8600,0.49,-18.72,-37.33,-44.19
8700,0.62,-18.46,-39.11,-41.93
8800,0.71,-18.47,-40.04,-42.07
8900,0.77,-18.59,-39.43,-44.59
9000,0.82,-18.68,-38.57,-47.25
9100,0.87,-18.74,-38.73,-47.85
9200,0.95,-18.87,-38.61,-45.70
9300,1.03,-19.05,-36.73,-42.53
9400,1.09,-19.02,-34.73,-41.19
9500,1.17,-18.54,-35.11,-42.19
9600,1.25,-17.90,-37.12,-43.75
9700,1.28,-17.67,-38.05,-44.82
9800,1.23,-17.96,-37.30,-45.62
9900,1.15,-18.37,-36.07,-46.01
10000,1.12,-18.56,-34.29,-45.89
10100,1.13,-18.59,-31.46,-45.85
10200,1.15,-18.61,-29.01,-46.05
10300,1.17,-18.68,-28.78,-45.57
10400,1.19,-18.83,-30.24,-43.81
10500,1.16,-19.26,-31.25,-41.80
