Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,1.77,-14.63,-31.41,-28.09
45,1.20,-14.98,-30.69,-33.47
50,0.91,-15.90,-31.33,-36.53
60,0.86,-17.52,-31.96,-38.54
70,0.80,-19.57,-32.22,-41.30
80,0.64,-21.29,-33.60,-44.24
90,0.53,-22.03,-35.53,-46.39
100,0.59,-22.13,-36.07,-47.93
120,0.72,-22.07,-35.50,-49.08
140,0.71,-21.66,-35.41,-49.67
160,0.59,-21.08,-35.95,-49.79
180,0.54,-21.18,-36.30,-49.75
200,0.60,-21.90,-36.43,-49.69
220,0.65,-22.25,-36.66,-49.41
240,0.66,-22.01,-36.91,-48.75
260,0.68,-21.89,-36.96,-48.08
280,0.74,-22.39,-36.67,-47.70
300,0.79,-23.22,-36.40,-47.13
320,0.79,-23.59,-37.03,-46.22
340,0.74,-23.00,-38.20,-45.81
360,0.69,-21.88,-38.22,-45.88
380,0.70,-20.95,-37.13,-45.19
400,0.71,-20.43,-36.84,-43.79
420,0.68,-20.43,-37.61,-43.16
440,0.62,-20.94,-37.70,-43.64
460,0.57,-21.36,-37.00,-44.10
480,0.54,-21.09,-37.29,-44.00
500,0.51,-20.68,-38.94,-43.88
520,0.50,-20.98,-40.20,-44.12
540,0.48,-21.66,-39.74,-44.39
560,0.40,-21.69,-38.59,-44.45
580,0.30,-21.00,-38.77,-44.51
600,0.27,-20.54,-40.57,-44.87
620,0.28,-20.88,-42.29,-45.36
640,0.28,-21.55,-42.44,-45.68
660,0.23,-21.77,-41.16,-45.86
680,0.15,-21.31,-40.05,-45.93
700,0.09,-20.52,-40.49,-45.74
720,0.05,-20.05,-41.97,-45.55
740,0.02,-20.40,-43.03,-45.64
760,0.01,-21.39,-43.37,-45.80
780,-0.01,-22.19,-43.28,-45.88
800,-0.04,-22.27,-42.47,-46.28
820,-0.08,-21.81,-41.12,-47.08
840,-0.09,-21.37,-40.49,-47.59
860,-0.10,-21.39,-41.20,-47.48
880,-0.12,-21.88,-42.41,-47.48
900,-0.16,-22.47,-43.17,-48.45
920,-0.21,-22.72,-43.44,-50.13
940,-0.29,-22.58,-43.37,-51.44
960,-0.35,-22.28,-42.85,-51.73
980,-0.35,-21.94,-42.14,-51.40
1000,-0.33,-21.52,-42.01,-51.18
1100,-0.35,-21.11,-42.49,-51.26
