Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
35,-20.26,-32.07,-50.39,-44.76
40,-2.30,-16.09,-33.88,-33.53
45,4.27,-11.19,-28.21,-31.84
50,2.35,-14.26,-31.07,-36.77
60,0.60,-17.08,-33.29,-40.80
70,1.12,-18.21,-32.41,-42.64
80,1.53,-19.45,-32.15,-44.69
90,1.19,-20.12,-33.59,-47.28
100,0.98,-19.60,-34.51,-49.46
120,1.15,-19.32,-34.21,-51.16
140,1.39,-20.19,-33.87,-53.16
160,1.49,-21.31,-34.08,-56.09
180,1.47,-21.65,-34.51,-58.63
200,1.41,-21.11,-34.77,-58.20
220,1.40,-20.34,-34.81,-55.43
240,1.41,-20.07,-34.93,-54.20
260,1.39,-20.35,-35.37,-56.10
280,1.35,-20.68,-35.89,-58.40
300,1.36,-20.80,-36.08,-57.63
320,1.37,-20.88,-36.05,-54.45
340,1.34,-20.98,-36.13,-52.81
360,1.36,-20.86,-36.40,-53.66
380,1.44,-20.34,-37.02,-53.97
400,1.49,-19.86,-38.35,-52.23
420,1.47,-19.93,-40.20,-50.28
440,1.43,-20.26,-41.69,-49.73
460,1.33,-20.15,-42.04,-50.26
480,1.08,-19.84,-41.60,-50.95
500,0.77,-20.01,-41.92,-51.45
520,0.61,-20.52,-43.83,-51.72
540,0.62,-20.60,-45.85,-51.68
560,0.64,-20.16,-45.79,-51.34
580,0.58,-19.91,-44.20,-51.05
600,0.50,-20.16,-44.39,-51.10
620,0.46,-20.50,-47.93,-51.22
640,0.47,-20.45,-51.93,-51.14
660,0.47,-20.16,-52.93,-51.01
680,0.41,-20.04,-51.14,-51.10
700,0.29,-20.11,-48.60,-51.44
720,0.19,-20.01,-46.80,-51.75
740,0.17,-19.84,-47.53,-51.67
760,0.20,-19.89,-51.47,-51.33
780,0.25,-20.05,-55.62,-51.15
800,0.27,-20.17,-56.17,-51.10
820,0.25,-20.43,-53.64,-50.82
840,0.17,-20.74,-51.34,-50.34
860,0.11,-20.71,-50.12,-49.93
880,0.11,-20.45,-49.20,-49.78
900,0.13,-20.41,-49.77,-49.95
920,0.14,-20.55,-52.89,-50.49
940,0.10,-20.55,-56.10,-51.22
960,0.04,-20.40,-56.32,-51.35
980,0.01,-20.26,-53.96,-50.21
1000,0.00,-20.08,-51.26,-48.48
1100,0.00,-19.76,-49.69,-47.89
1200,-0.01,-19.43,-50.53,-49.11
1300,-0.04,-19.26,-53.36,-50.77
1400,-0.07,-19.18,-54.21,-51.04
1500,-0.10,-19.12,-51.41,-49.76
1600,-0.14,-19.11,-49.37,-48.52
1700,-0.17,-19.15,-50.01,-48.43
1800,-0.18,-19.15,-48.99,-48.45
1900,-0.22,-19.13,-45.40,-47.61
2000,-0.28,-19.20,-44.65,-47.38
2100,-0.30,-19.29,-48.32,-49.06
2200,-0.29,-19.26,-50.91,-50.43
2300,-0.34,-19.30,-48.47,-49.29
2400,-0.45,-19.59,-43.76,-47.49
2500,-0.48,-19.98,-42.08,-47.10
2600,-0.42,-20.15,-45.21,-46.92
2700,-0.42,-20.13,-49.56,-46.01
2800,-0.54,-20.17,-50.28,-45.55
2900,-0.66,-20.38,-46.80,-45.68
3000,-0.66,-20.63,-42.56,-46.00
3100,-0.58,-20.82,-40.79,-47.81
3200,-0.54,-20.99,-41.88,-50.42
3300,-0.62,-21.21,-43.81,-49.82
3400,-0.74,-21.48,-44.59,-45.75
3500,-0.80,-21.77,-43.62,-43.53
3600,-0.76,-22.00,-41.63,-46.07
3700,-0.68,-22.10,-40.60,-50.11
3800,-0.64,-22.16,-41.73,-51.36
3900,-0.68,-22.36,-43.46,-49.81
4000,-0.76,-22.60,-43.71,-48.43
4100,-0.81,-22.72,-42.42,-47.75
4200,-0.77,-22.90,-40.71,-46.12
4300,-0.67,-23.16,-39.33,-44.80
4400,-0.53,-22.86,-38.42,-46.19
4500,-0.47,-21.87,-37.85,-48.83
4600,-0.67,-21.13,-37.74,-50.12
4700,-1.07,-21.46,-38.29,-50.31
4800,-1.29,-22.31,-38.93,-50.03
4900,-1.15,-22.67,-38.67,-48.29
5000,-0.89,-22.53,-37.61,-45.31
5100,-0.76,-22.36,-36.71,-44.15
5200,-0.70,-22.14,-36.22,-47.37
5300,-0.61,-21.73,-35.87,-52.81
5400,-0.53,-21.49,-36.00,-55.66
5500,-0.56,-21.77,-36.79,-54.47
5600,-0.64,-22.25,-37.47,-51.93
5700,-0.65,-22.34,-37.54,-50.18
5800,-0.57,-22.05,-37.26,-48.88
5900,-0.47,-21.84,-36.56,-47.45
6000,-0.40,-21.82,-35.15,-46.27
6100,-0.36,-21.67,-33.76,-45.28
6200,-0.29,-21.28,-33.22,-43.72
6300,-0.19,-20.86,-33.48,-42.09
6400,-0.11,-20.61,-34.23,-41.97
6500,-0.11,-20.64,-35.36,-42.97
6600,-0.17,-20.91,-36.46,-42.91
6700,-0.19,-21.03,-36.89,-41.37
6800,-0.14,-20.69,-36.55,-40.31
6900,-0.04,-20.14,-36.19,-41.05
7000,0.06,-19.80,-36.10,-42.70
7100,0.13,-19.76,-35.71,-43.42
7200,0.20,-19.79,-34.98,-42.51
7300,0.27,-19.65,-35.17,-40.81
7400,0.35,-19.29,-37.25,-38.88
7500,0.44,-18.84,-40.01,-37.08
7600,0.54,-18.50,-41.00,-36.70
7700,0.57,-18.43,-39.75,-38.52
7800,0.54,-18.67,-38.43,-41.11
7900,0.49,-19.00,-38.73,-42.50
8000,0.52,-19.08,-39.81,-42.21
8100,0.62,-18.86,-39.65,-40.94
8200,0.73,-18.57,-37.49,-39.59
8300,0.83,-18.38,-34.47,-38.80
8400,0.91,-18.31,-32.33,-38.69
8500,0.96,-18.29,-32.01,-38.65
8600,1.01,-18.29,-33.23,-37.92
8700,1.07,-18.20,-34.56,-36.65
8800,1.16,-18.00,-34.55,-35.95
8900,1.26,-17.77,-33.22,-36.36
9000,1.35,-17.67,-31.92,-37.29
9100,1.39,-17.80,-31.38,-38.02
9200,1.38,-18.10,-31.14,-38.38
9300,1.35,-18.37,-31.23,-38.51
9400,1.35,-18.34,-32.62,-38.65
9500,1.39,-17.96,-34.78,-38.93
9600,1.34,-17.47,-35.17,-39.24
9700,1.17,-17.10,-32.81,-39.40
9800,1.11,-16.93,-30.38,-39.34
9900,1.30,-16.94,-30.85,-39.13
10000,1.53,-17.07,-33.43,-38.77
10100,1.56,-17.25,-34.94,-38.41
10200,1.48,-17.40,-34.47,-38.45
10300,1.43,-17.49,-34.04,-38.81
10400,1.44,-17.51,-34.57,-38.79
