Frequency,Amplitude,Crosstalk,2nd Harmonic,3rd Harmonic
40,2.02,-9.93,-29.86,-26.11
45,1.42,-12.50,-30.90,-33.50
50,1.10,-14.64,-32.54,-37.62
60,1.04,-16.61,-33.30,-39.26
70,0.99,-18.52,-33.17,-41.14
80,0.82,-19.81,-33.92,-44.19
90,0.62,-20.13,-35.20,-47.41
100,0.57,-20.16,-35.59,-49.60
120,0.68,-20.79,-35.39,-50.84
140,0.86,-21.94,-35.39,-52.24
160,1.01,-22.81,-35.59,-54.10
180,1.03,-22.95,-36.07,-55.42
200,0.97,-22.53,-37.00,-55.92
220,0.93,-21.96,-37.93,-56.73
240,0.96,-21.62,-38.33,-58.18
260,0.96,-21.63,-38.30,-59.22
280,0.91,-21.86,-38.36,-59.61
300,0.86,-22.11,-38.75,-59.84
320,0.86,-22.19,-39.10,-59.47
340,0.89,-22.00,-39.32,-58.63
360,0.94,-21.83,-39.88,-59.08
380,1.01,-21.89,-40.82,-59.86
400,1.05,-21.67,-41.73,-57.11
420,1.04,-21.05,-42.83,-51.65
440,1.00,-20.97,-44.93,-49.13
460,0.94,-21.62,-48.09,-50.92
480,0.87,-21.73,-50.71,-52.77
500,0.81,-20.85,-50.63,-52.44
520,0.74,-20.29,-48.21,-51.83
540,0.67,-20.91,-46.81,-52.64
560,0.62,-21.66,-48.52,-54.31
580,0.60,-21.36,-51.53,-55.52
600,0.58,-20.42,-53.04,-55.50
620,0.54,-20.19,-52.14,-54.56
640,0.50,-20.99,-49.99,-53.99
660,0.46,-21.77,-48.83,-54.72
680,0.44,-21.56,-49.36,-55.92
700,0.39,-20.52,-49.57,-56.09
720,0.32,-19.59,-48.59,-55.39
740,0.24,-19.57,-48.96,-55.56
760,0.22,-20.49,-51.41,-56.65
780,0.26,-21.64,-52.37,-56.61
800,0.31,-22.20,-50.34,-55.19
820,0.30,-21.78,-48.60,-54.46
840,0.25,-20.81,-48.85,-54.78
860,0.20,-20.25,-48.61,-54.63
880,0.17,-20.51,-46.55,-53.67
900,0.14,-21.09,-45.15,-52.52
920,0.10,-21.50,-46.08,-51.25
940,0.07,-21.86,-46.88,-50.15
960,0.03,-22.11,-44.54,-49.82
980,0.00,-21.77,-40.19,-50.07
1000,0.00,-20.84,-37.24,-50.40
1100,-0.00,-20.03,-36.54,-50.61
1200,-0.03,-19.81,-36.32,-50.20
1300,-0.07,-19.93,-35.51,-48.62
1400,-0.10,-20.00,-34.65,-46.31
1500,-0.12,-19.90,-34.55,-44.58
1600,-0.15,-19.70,-35.21,-44.15
1700,-0.18,-19.61,-35.45,-44.52
1800,-0.22,-19.74,-34.14,-45.22
1900,-0.24,-19.77,-31.95,-46.49
2000,-0.27,-19.59,-30.75,-48.14
2100,-0.33,-19.70,-31.41,-48.81
2200,-0.38,-20.21,-32.87,-47.81
2300,-0.40,-20.37,-33.37,-46.27
2400,-0.41,-19.96,-32.52,-45.29
2500,-0.46,-19.85,-31.59,-44.28
2600,-0.54,-20.45,-31.44,-42.73
2700,-0.58,-20.96,-31.50,-41.41
2800,-0.57,-20.69,-31.12,-40.96
2900,-0.59,-20.23,-30.47,-40.99
3000,-0.67,-20.51,-29.72,-40.76
3100,-0.73,-21.46,-28.91,-39.92
3200,-0.74,-22.14,-28.50,-39.46
3300,-0.71,-21.99,-28.94,-41.20
3400,-0.71,-21.45,-29.85,-44.49
3500,-0.76,-21.29,-30.23,-45.68
3600,-0.84,-21.81,-29.67,-43.48
3700,-0.87,-22.79,-28.75,-41.31
3800,-0.85,-23.61,-28.30,-41.82
3900,-0.82,-23.65,-28.65,-42.93
4000,-0.80,-22.88,-28.93,-42.16
4100,-0.81,-22.13,-27.77,-40.75
4200,-0.85,-22.12,-25.44,-40.81
4300,-0.91,-22.68,-23.90,-41.66
4400,-0.93,-23.27,-24.00,-41.68
4500,-0.93,-23.69,-24.44,-41.35
4600,-0.86,-23.80,-23.96,-41.85
4700,-0.73,-23.15,-22.80,-42.54
4800,-0.72,-21.78,-21.88,-42.24
4900,-0.98,-20.81,-21.50,-41.58
5000,-1.32,-21.17,-21.33,-41.55
5100,-1.38,-22.48,-21.32,-41.46
5200,-1.19,-23.70,-21.92,-40.68
5300,-1.04,-24.17,-22.84,-39.96
5400,-1.03,-23.76,-22.98,-39.64
5500,-1.00,-22.82,-22.16,-39.29
5600,-0.90,-21.97,-21.59,-39.14
5700,-0.81,-21.66,-22.07,-39.80
5800,-0.81,-21.93,-22.97,-41.25
5900,-0.86,-22.47,-23.37,-42.83
6000,-0.85,-22.76,-23.56,-43.18
6100,-0.79,-22.59,-24.46,-41.27
6200,-0.74,-22.23,-25.61,-38.49
6300,-0.70,-21.81,-25.60,-37.86
6400,-0.65,-21.15,-24.56,-39.85
6500,-0.57,-20.42,-24.05,-41.74
6600,-0.48,-20.24,-24.47,-41.86
6700,-0.38,-20.71,-24.82,-41.47
